英単語,日本語意味,英語意味
May,五月,the month following April and preceding June
maybe,多分,by chance
me,私に,a state in New England
meal,お食事,the food served and eaten at one time
mean,平均,an average of n numbers computed by adding some function of the numbers and dividing by some function of n
meat,お肉,the flesh of animals (including fishes and birds and snails) used as food
medicine,薬,the branches of medical science that deal with nonsurgical techniques
meet,会います,a meeting at which a number of athletic contests are held
meeting,会議,a formally arranged gathering
memory,メモリ,something that is remembered
merry,メリー,full of or showing high-spirited merriment; ; - Wordsworth
message,メッセージ,a communication (usually brief) that is written or spoken or signaled
middle,中間,an area that is approximately central within some larger region
milk,ミルク,a white nutritious liquid secreted by mammals and used as food by human beings
mind,マインド,that which is responsible for one's thoughts and feelings; the seat of the faculty of reason
mine,私の,excavation in the earth from which ores and minerals are extracted
minute,分,a unit of time equal to 60 seconds or 1/60th of an hour
Miss,お嬢,a young woman
miss,お嬢,a young woman
mobile,モバイル,a river in southwestern Alabama; flows into Mobile Bay
mom,ママ,informal terms for a mother
moment,瞬間,a particular point in time
mommy,ママ,informal terms for a mother
Monday,月曜,the second day of the week; the first working day
money,お金,the most common medium of exchange; functions as legal tender
monkey,モンキー,any of various long-tailed primates (excluding the prosimians)
month,月,one of the twelve divisions of the calendar year
moon,月,the natural satellite of the Earth
more,もっと,"English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state"
morning,朝,the time period between dawn and noon
most,最も,(superlative of `many' used with count nouns and often preceded by `the') quantifier meaning the greatest in number
mother,母,a woman who has given birth to a child (also used as a term of address to your mother)
mountain,山,a land mass that projects well above its surroundings; higher than a hill
mouse,マウス,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails
mouth,口,the opening through which food is taken in and vocalizations emerge
move,動き,the act of deciding to do something
movie,映画,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
Mr.,氏。,a form of address for a man
Mrs.,夫人。,a form of address for a married woman
much,はるかに,a great amount or extent
mum,お母さん,of China
music,音楽,an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner
musician,音楽家,someone who plays a musical instrument (as a profession)
must,必見,a necessary or essential thing
name,名前,a language unit by which a person or thing is known
nationality,国籍,people having common origins or traditions and often comprising a nation
near,近く,move towards
neck,首,the part of an organism (human or animal) that connects the head to the rest of the body
need,必要,a condition requiring relief
neighbor,隣人,a person who lives (or is located) near another
never,決して,not ever; at no time in the past or future
new,新着,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
news,ニュース,information about recent and important events
newspaper,新聞,a daily or weekly publication on folded sheets; contains news and articles and advertisements
nice,すてきな,a city in southeastern France on the Mediterranean; the leading resort on the French Riviera
night,夜,the time after sunset and before sunrise while it is dark outside
nine,九つ,the cardinal number that is the sum of eight and one
nineteen,十九,the cardinal number that is the sum of eighteen and one
ninety,90,the cardinal number that is the product of ten and nine
no,番号,a negative
noise,ノイズ,sound of any kind (especially unintelligible or dissonant sound)
nose,鼻,the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals
not,ではありません,negation of a word or group of words
note,注意,a brief written record
notebook,ノート,a book with blank pages for recording notes or memoranda
nothing,何も,a quantity of no importance
November,十一月,the month following October and preceding December
now,今,the momentary present
number,数,the property possessed by a sum or total or indefinite quantity of units or individuals
nurse,ナース,one skilled in caring for young children or the sick (usually under the supervision of a physician)
o'clock,時,according to the clock
October,10月,the month following September and preceding November
off,オフ,kill intentionally and with premeditation
office,オフィス,place of business where professional or clerical duties are performed
officer,役員,any person in the armed services who holds a position of authority or command
often,しばしば,many times at short intervals
OK,OK,a state in south central United States
old,古い,past times (especially in the phrase `in days of old')
Olympics,五輪,the modern revival of the ancient games held once every 4 years in a selected country
on,オン,in operation or operational
once,一度,on one occasion
one,1,the smallest whole number or a numeral representing this number
only,のみ,being the only one; single and isolated from others
open,開いた,a clear or unobstructed space or expanse of land or water
opera,オペラ,a drama set to music; consists of singing with orchestral accompaniment and an orchestral overture and interludes
or,若しくは,a state in northwestern United States on the Pacific
orange,オレンジ,round yellow to orange fruit of any of several citrus trees
order,注文,"(often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed"
other,他の,not the same one or ones already mentioned or implied; - the White Queen
out,アウト,(baseball) a failure by a batter or runner to reach a base safely in baseball
outside,外側,the region that is outside of something
over,オーバー,(cricket) the division of play during which six balls are bowled at the batsman by one player from the other team from the same end of the pitch
own,自分の,have ownership or possession of
owner,オーナー,(law) someone who owns (is legal possessor of) a business
p.m.,午後,after noon
page,ページ,one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pictorial matter it contains
paint,ペイント,a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating
painting,ペインティング,graphic art consisting of an artistic composition made by applying paints to a surface
pair,ペア,a set of two similar things considered as a unit
palace,宮殿,a large and stately mansion
pants,パンツ,underpants worn by women
paper,論文,a material made of cellulose pulp derived mainly from wood or rags or certain grasses
paragraph,段落,one of several distinct subdivisions of a text intended to separate ideas; the beginning is usually marked by a new indented line
pardon,恩赦,the act of excusing a mistake or offense
parent,親,a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian
park,パーク,a large area of land preserved in its natural state as public property
partner,相棒,a person's partner in marriage
party,パーティー,an organization to gain political power
past,過去,the time that has elapsed
pay,支払う,something that remunerates
peace,平和,the state prevailing during the absence of war
pen,ペン,a writing implement with a point from which ink flows
pencil,鉛筆,a thin cylindrical pointed writing implement; a rod of marking substance encased in wood
people,人,(plural) any group of human beings (men or women or children) collectively
period,限目,an amount of time
person,人,a human being
personal,個人的な,a short newspaper article about a particular person or group
pet,ペット,a domesticated animal kept for companionship or amusement
phone,電話,electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds
photo,写真,a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material
piano,ピアノ,a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds
pick,ピック,the person or thing chosen or selected
picnic,ピクニック,a day devoted to an outdoor social gathering
picture,画像,a visual representation (of an object or scene or person or abstraction) produced on a surface
piece,ピース,a separate part of a whole
pig,豚,domestic swine
pink,ピンク,a light shade of red
pizza,ピザ,Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese
place,場所,a point located with respect to surface features of some region
plan,予定,a series of steps to be carried out or goals to be accomplished
plane,飛行機,an aircraft that has a fixed wing and is powered by propellers or jets
play,演奏する,a dramatic work intended for performance by actors on a stage
player,プレーヤー,a person who participates in or is skilled at some game
please,お願いします,give pleasure to or be pleasing to
pleasure,喜び,a fundamental feeling that is hard to define but that people desire to experience
pocket,ポケット,a small pouch inside a garment for carrying small articles
poem,詩,a composition written in metrical feet forming rhythmical lines
point,ポイント,a geometric element that has position but no extension
pollution,汚染,undesirable state of the natural environment being contaminated with harmful substances as a consequence of human activities
pool,プール,an excavation that is (usually) filled with water
poor,貧しいです,people without possessions or wealth (considered as a group)
pop,ポップ,an informal term for a father; probably derived from baby talk
post,役職,the position where someone (as a guard or sentry) stands or is assigned to stand
poster,ポスター,a sign posted in a public place as an advertisement
potato,じゃがいも,an edible tuber native to South America; a staple food of Ireland
practice,練習,a customary way of operation or behavior
practice,練習,a customary way of operation or behavior
pray,祈る,"address a deity, a prophet, a saint or an object of worship; say a prayer"
present,現在,the period of time that is happening now; any continuous stretch of time including the moment of speech
pretty,可愛い,pleasing by delicacy or grace; not imposing
price,価格,the property of having material worth (often indicated by the amount of money something would bring if sold)
prince,王子,a male member of a royal family other than the sovereign (especially the son of a sovereign)
princess,王女,a female member of a royal family other than the queen (especially the daughter of a sovereign)
problem,問題,a state of difficulty that needs to be resolved
program,プログラム,a series of steps to be carried out or goals to be accomplished
purple,紫の,a purple color or pigment
push,押す,the act of applying force in order to move something away
put,置きます,the option to sell a given stock (or stock index or commodity future) at a given price before a given date
quarter,四半期,one of four equal parts
question,質問,an instance of questioning
quickly,早く,with rapid movements
quiet,静か,a period of calm weather
rabbit,ウサギ,any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food
radio,無線,medium for communication
rain,雨,water falling in drops from vapor condensed in the atmosphere
rainy,雨の,(of weather) wet by periods of rain
rat,ラット,any of various long-tailed rodents similar to but larger than a mouse
re,再,a rare heavy polyvalent metallic element that resembles manganese chemically and is used in some alloys; is obtained as a by-product in refining molybdenum
read,読んだ,something that is read
reader,読者,a person who enjoys reading
reading,読書,the cognitive process of understanding a written linguistic message
ready,準備ができて,poised for action
real,リアル,any rational or irrational number
really,本当に,in accordance with truth or fact or reality
reason,理由,a rational motive for a belief or action
red,赤,red color or pigment; the chromatic color resembling the hue of blood
remember,思い出します,recall knowledge from memory; have a recollection
repeat,繰り返す,an event that repeats
reporter,レポーター,a person who investigates and reports or edits news stories
restaurant,レストラン,a building where people go to eat
result,結果,a phenomenon that follows and is caused by some previous phenomenon
review,レビュー,a new appraisal or evaluation
ribbon,リボン,any long object resembling a thin line
rice,ご飯,grains used as food either unpolished or more often polished
rich,リッチ,people who have possessions and wealth (considered as a group)
ride,ライド,a journey in a vehicle (usually an automobile)
right,正しい,an abstract idea of that which is due to a person or governmental body by law or tradition or nature; ; - Eleanor Roosevelt
ring,リング,a characteristic sound
river,川,a large natural stream of water (larger than a creek)
role,役割,the actions and activities assigned to or required or expected of a person or group
room,ルーム,an area within a building enclosed by walls and floor and ceiling
rose,ローズ,any of many shrubs of the genus Rosa that bear roses
row,行,an arrangement of objects or people side by side in a line
rude,無礼,socially incorrect in behavior
rule,ルール,a principle or condition that customarily governs behavior
ruler,ルーラー,a person who rules or commands
run,ラン,a score in baseball made by a runner touching all four bases safely
s,S,1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites
sad,悲しい,experiencing or showing sorrow or unhappiness; ; - Christina Rossetti
sailor,船乗り,any member of a ship's crew
salad,サラダ,food mixtures either arranged on a plate or tossed and served with a moist dressing; usually consisting of or including greens
sale,セール,a particular instance of selling
same,同じ,a member of an indigenous nomadic people living in northern Scandinavia and herding reindeer
sandwich,サンドイッチ,two (or more) slices of bread with a filling between them
Saturday,土曜日,the seventh and last day of the week; observed as the Sabbath by Jews and some Christians
save,保存する,(sports) the act of preventing the opposition from scoring
saw,鋸,a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
say,いう,the chance to speak
school,学校,an educational institution
science,理科,a particular branch of scientific knowledge
scientist,科学者,a person with advanced knowledge of one or more sciences
sea,海,a division of an ocean or a large body of salt water partially enclosed by land
seat,シート,a space reserved for sitting (as in a theater or on a train or airplane)
second,第2,1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites
section,セクション,a self-contained part of a larger composition (written or musical)
see,見る,the seat within a bishop's diocese where his cathedral is located
self,自己,your consciousness of your own identity
sell,売る,the activity of persuading someone to buy
sentence,文,a string of words satisfying the grammatical rules of a language
September,九月,the month following August and preceding October
set,セットする,a group of things of the same kind that belong together and are so used
seven,セブン,the cardinal number that is the sum of six and one
seventeen,17,the cardinal number that is the sum of sixteen and one
seventy,70,the cardinal number that is the product of ten and seven
shake,シェイク,building material used as siding or roofing
share,シェア,assets belonging to or due to or contributed by an individual person or group
sheep,羊,woolly usually horned ruminant mammal related to the goat
shelf,棚,a support that consists of a horizontal surface for holding objects
ship,輸送する,a vessel that carries passengers or freight
shirt,シャツ,a garment worn on the upper half of the body
shoe,靴,footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material
shop,ショップ,a mercantile establishment for the retail sale of goods or services
shopping,ショッピング,searching for or buying goods or services
short,ショート,the location on a baseball field where the shortstop is stationed
shoulder,ショルダー,the part of the body between the neck and the upper arm
show,公演,the act of publicly exhibiting or entertaining
shower,シャワー,a plumbing fixture that sprays water over you
shy,シャイ,a quick throw
sick,病気,people who are sick
side,側,a place within a region identified relative to a center or reference location
sight,視力,an instance of visual perception
sign,符号,a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
sing,歌う,deliver by singing
singer,歌手,a person who sings
sir,お客様,term of address for a man
sister,シスター,a female person who has the same parents as another person
sit,SIT,be seated
site,地点,the piece of land on which something is located (or is to be located)
six,六,the cardinal number that is the sum of five and one
sixteen,16,the cardinal number that is the sum of fifteen and one
sixty,六十,the cardinal number that is the product of ten and six
size,サイズ,the physical magnitude of something (how big it is)
skill,スキル,an ability that has been acquired by training
skirt,スカート,cloth covering that forms the part of a garment below the waist
sky,空,the atmosphere and outer space as viewed from the earth
sleep,睡眠,a natural and periodic state of rest during which consciousness of the world is suspended
slow,スロー,lose velocity; move more slowly
small,小さい,the slender part of the back
smart,スマート,a kind of pain such as that caused by a wound or a burn or a sore
smell,香り,the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form
smile,スマイル,a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement
smith,スミス,Rhodesian statesman who declared independence of Zimbabwe from Great Britain (born in 1919)
smoke,煙,a cloud of fine particles suspended in a gas
smoking,喫煙,the act of smoking tobacco or other substances
snake,ヘビ,limbless scaly elongate reptile; some are venomous
snow,雪,precipitation falling from clouds in the form of ice crystals
snowy,雪の降ります,marked by the presence of snow
so,そう,the syllable naming the fifth (dominant) note of any musical scale in solmization
soccer,サッカー,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal
social,ソーシャル,a party of people assembled to promote sociability and communal activity
sofa,ソファー,an upholstered seat for more than one person
solve,解決する,find the solution to (a problem or question) or understand the meaning of
some,いくつか,quantifier; used with either mass nouns or plural count nouns to indicate an unspecified number or quantity
someone,誰か,a human being
son,息子,a male human offspring
song,歌,a short musical composition with words
soon,やがて,in the near future
sorry,ごめんなさい,feeling or expressing regret or sorrow or a sense of loss over something done or undone
soup,スープ,liquid food especially of meat or fish or vegetable stock often containing pieces of solid food
speak,話す,express in speech
special,特殊,a special offering (usually temporary and at a reduced price) that is featured in advertising
speech,スピーチ,the act of delivering a formal spoken communication to an audience
spell,スペル,a psychological state induced by (or as if induced by) a magical incantation
spend,費やす,pass time in a specific way
sport,スポーツ,an active diversion requiring physical exertion and competition
spot,スポット,a point located with respect to surface features of some region
spring,春,the season of growth
spy,スパイ,(military) a secret agent hired by a state to obtain information about its enemies or by a business to obtain industrial secrets from competitors
stage,ステージ,any distinct time period in a sequence of events
stand,スタンド,a support or foundation
star,星,(astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior
start,開始,the beginning of anything
station,駅,a facility equipped with special equipment and personnel for a particular purpose
stay,滞在,continuing or remaining in a place or state
step,ステップ,any maneuver made as part of progress toward a goal
still,やはり,a static photograph (especially one taken from a movie and used for advertising purposes)
stone,結石,a lump or mass of hard consolidated mineral matter
stop,やめる,the event of something ending
store,お店,a mercantile establishment for the retail sale of goods or services
story,物語,a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program
straight,まっすぐ,a heterosexual person; someone having a sexual orientation to persons of the opposite sex
strange,奇妙,being definitely out of the ordinary and unexpected; slightly odd or even a bit weird
street,通り,a thoroughfare (usually including sidewalks) that is lined with buildings
strict,厳密,rigidly accurate; allowing no deviation from a standard
strong,強い,having strength or power greater than average or expected
student,学生,a learner who is enrolled in an educational institution
study,調査,a detailed critical inspection
subject,主題,the subject matter of a conversation or discussion
subway,地下鉄,an electric railway operating below the surface of the ground (usually in a city)
successful,成功しました,having succeeded or being marked by a favorable outcome
sugar,シュガー,a white crystalline carbohydrate used as a sweetener and preservative
suggestion,提案,an idea that is suggested
sum,和,a quantity of money
summer,夏,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox
sun,太陽,the star that is the source of light and heat for the planets in the solar system
Sunday,日曜日,first day of the week; observed as a day of rest and worship by most Christians
sunny,晴れました,bright and pleasant; promoting a feeling of cheer
sunshine,日光,the rays of the sun
super,素晴らしい,a caretaker for an apartment house; represents the owner as janitor and rent collector
supermarket,スーパーマーケット,a large self-service grocery store selling groceries and dairy products and household goods
sure,承知しました,having or feeling no doubt or uncertainty; confident and assured
surf,サーフ,waves breaking on the shore
surprise,驚き,the astonishment you feel when something totally unexpected happens to you
survey,調査,a detailed critical inspection
sweet,甘い,English phonetician; one of the founders of modern phonetics (1845-1912)
swim,泳ぐ,the act of swimming; :
swimming,水泳,the act of swimming; :
table,テーブル,a set of data arranged in rows and columns
take,取る,the income or profit arising from such transactions as the sale of land or other property
talk,トーク,an exchange of ideas via conversation
tall,背が高いです,a garment size for a tall person
taxi,タクシー,a car driven by a person whose job is to take passengers where they want to go in exchange for money
tea,お茶,a beverage made by steeping tea leaves in water
teach,教える,an English pirate who operated in the Caribbean and off the Atlantic coast of North America (died in 1718)
teacher,先生,a person whose occupation is teaching
team,チーム,a cooperative unit (especially in sports)
technology,技術,the practical application of science to commerce or industry
telephone,電話,electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds
television,テレビ,broadcasting visual images of stationary or moving objects; ;  - Ernie Kovacs
tell,伝えます,a Swiss patriot who lived in the early 14th century and who was renowned for his skill as an archer; according to legend an Austrian governor compelled him to shoot an apple from his son's head with his crossbow (which he did successfully without mishap)
temple,寺院,place of worship consisting of an edifice for the worship of a deity
ten,十,the cardinal number that is the sum of nine and one; the base of the decimal system
tennis,テニス,a game played with rackets by two or four players who hit a ball back and forth over a net that divides the court
terrible,ひどいです,causing fear or dread or terror
test,テスト,trying something to find out about it
thank,感謝,express gratitude or show appreciation to
thanks,感謝,an acknowledgment of appreciation
theater,劇場,a building where theatrical performances or motion-picture shows can be presented
then,それから,that time; that moment
there,そこ,a location other than here; that place
thick,厚い,the location of something surrounded by other things
thin,薄い,lose thickness; become thin or thinner
thing,事,a special situation
think,考えます,an instance of deliberate thinking
thirteen,13,the cardinal number that is the sum of twelve and one
thirty,30,the cardinal number that is the product of ten and three
three,三,the cardinal number that is the sum of one and one and one
through,使って,having finished or arrived at completion
throw,スロー,the act of throwing (propelling something with a rapid movement of the arm and wrist)
Thursday,木曜日,the fifth day of the week; the fourth working day
ticket,チケット,a commercial document showing that the holder is entitled to something (as to ride on public transportation or to enter a public entertainment)
tiger,虎,a fierce or audacious person
tight,タイト,closely constrained or constricted or constricting
time,時間,an instance or single occasion for some event
tired,疲れました,lose interest or become bored with something or somebody
today,今日,the present time or age
together,一緒,mentally and emotionally stable
toilet,トイレ,a room or building equipped with one or more toilets
tomato,トマト,mildly acid red or yellow pulpy fruit eaten as a vegetable
tomorrow,明日,the day after today
tonight,今晩,the present or immediately coming night
too,余りに,to a degree exceeding normal or proper limits
tool,ツール,an implement used in the practice of a vocation
tooth,歯,hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense
top,上,the upper part of anything
topic,トピック,the subject matter of a conversation or discussion
touch,接する,the event of something coming in contact with the body
towel,タオル,a rectangular piece of absorbent cloth (or paper) for drying or wiping
tower,タワー,a structure taller than its diameter; can stand alone or be attached to a larger building
town,町,an urban area with a fixed boundary that is smaller than a city
toy,おもちゃ,an artifact designed to be played with
train,列車,public transport provided by a line of railway cars coupled together and drawn by a locomotive
travel,トラベル,the act of going from one place to another
tree,木,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
trip,旅行,a journey for some purpose (usually including the return)
trousers,ズボン,"(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately"
truck,トラック,an automotive vehicle suitable for hauling
TRUE,TRUE,proper alignment; the property possessed by something that is in correct or proper alignment
try,試します,earnest and conscientious activity intended to do or accomplish something
T-shirt,Tシャツ,a close-fitting pullover shirt
tube,チューブ,conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases
Tuesday,火曜日,the third day of the week; the second working day
turkey,七面鳥,large gallinaceous bird with fan-shaped tail; widely domesticated for food
turn,順番,a circular segment of a curve
TV,テレビ,broadcasting visual images of stationary or moving objects; ;  - Ernie Kovacs
twelve,12,the cardinal number that is the sum of eleven and one
twenty,二十,the cardinal number that is the sum of nineteen and one
two,二,the cardinal number that is the sum of one and one or a numeral representing this number
type,タイプ,a subdivision of a particular kind of thing
ugly,醜い,displeasing to the senses
umbrella,傘,a lightweight handheld collapsible canopy
uncle,おじさん,the brother of your father or mother; the husband of your aunt
under,下,located below or beneath something else
underline,下線,a line drawn underneath (especially under written matter)
up,アップ,raise
us,我ら,North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
use,使用する,the act of using
usually,通常,under normal conditions
vacation,休暇,leisure time away from work devoted to rest or pleasure
vase,花瓶,an open jar of glass or porcelain used as an ornament or to hold flowers
vegetable,野菜,edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant
very,非常に,precisely as stated
video,ビデオ,the visible part of a television transmission
visit,訪問,the act of going to see some person or place or thing for a short time
volleyball,バレーボール,a game in which two teams hit an inflated ball over a high net using their hands
vote,投票,a choice that is made by counting the number of people in favor of each alternative
wait,待つ,time during which some action is awaited
waiter,ウェイター,a person whose occupation is to serve at table (as in a restaurant)
waitress,ウェートレス,a woman waiter
wake,ウェイク,the consequences of an event (especially a catastrophic event)
walk,歩く,the act of traveling by foot
wall,壁,an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure
want,欲しいです,a state of extreme poverty
war,戦争,the waging of armed conflict against an enemy
warm,暖かいです,get warm or warmer
was,ました,a state in northwestern United States on the Pacific
wash,ウォッシュ,a thin coat of water-base paint
watch,見る,a small portable timepiece
water,水,binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent
way,仕方,how something is done or how it happens
wear,着る,impairment resulting from long use
weather,天気,the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation
Wednesday,水曜日,the fourth day of the week; the third working day
week,週間,any period of seven consecutive days
weekend,週末,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday
welcome,ようこそ,the state of being welcome
well,上手,a deep hole or shaft dug or drilled to obtain water or oil or gas or brine
were,ました,"have the quality of being; (copula, used with an adjective or a predicate noun)"
wheel,ホイール,a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)
white,白い,a member of the Caucasoid race
who,WHO,a United Nations agency to coordinate international health activities and to help governments improve health services
why,なぜ,"the cause or intention underlying an action or situation, especially in the phrase `the whys and wherefores'"
wife,妻,a married woman; a man's partner in marriage
will,意志,the capability of conscious choice and decision and intention; - George Meredith
win,勝つ,a victory (as in a race or other competition)
wind,風,air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure
window,窓,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air
winter,冬,the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox
wish,願い,a specific feeling of desire
woman,女性,an adult female person (as opposed to a man)
wonderful,素晴らしい,extraordinarily good or great ; used especially as intensifiers
word,語,a unit of language that native speakers can identify
work,作業,activity directed toward making or doing something
worker,ワーカー,a person who works at a specific occupation
world,世界,everything that exists anywhere
worry,心配,something or someone that causes anxiety; a source of unhappiness
write,書く,produce a literary work
writer,ライター,writes (books or stories or articles or the like) professionally (for pay)
wrong,違う,that which is contrary to the principles of justice or law
yard,ヤード,a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride
year,年,a period of time containing 365 (or 366) days
yellow,黄,yellow color or pigment; the chromatic color resembling the hue of sunflowers or ripe lemons
yes,はい,an affirmative
yesterday,昨日,the day immediately before today
yet,未だ,up to the present time
yogurt,ヨーグルト,a custard-like food made from curdled milk
young,若い,any immature animal
zoo,動物園,the facility where wild animals are housed for exhibition
