英単語,日本語意味,英語意味
determine,定めます,"establish after a calculation, investigation, experiment, survey, or study"
develop,発展させる,"make something new, such as a product or a mental or artistic creation"
developing,現像,processing a photosensitive material in order to make an image visible
development,開発,act of improving by expanding or enlarging or refining
device,端末,an instrumentality invented for a particular purpose
devote,捧げます,"give entirely to a specific person, activity, or cause"
dialogue,対話,a conversation between two persons
die,死にます,a small cube with 1 to 6 spots on the six faces; used in gambling to generate random numbers
diet,ダイエット,a prescribed selection of foods
differ,異なる,be different
difference,差,the quality of being unlike or dissimilar
different,異なります,unlike in nature or quality or form or degree
differently,異なっ,in another and different manner
difficult,難しいです,not easy; requiring great physical or mental effort to accomplish or comprehend or endure
difficulty,困難,an effort that is inconvenient
dig,掘る,the site of an archeological exploration
digital,デジタル,displaying numbers rather than scale positions
dimension,寸法,the magnitude of something in a particular direction (especially length or width or height)
dining,ダイニング,the act of eating dinner
dinner,晩ごはん,the main meal of the day served in the evening or at midday
direct,直接,command with authority
direction,方向,a line leading to a place or point
directly,直接,without deviation
director,ディレクター,someone who controls resources and expenditures
dirt,泥,the part of the earth's surface consisting of humus and disintegrated rock
dirty,汚れた,"make soiled, filthy, or dirty"
disability,身体障害,the condition of being unable to perform as a consequence of physical or mental unfitness
disagree,同意,be of different opinions
disappear,姿を消す,"get lost, as without warning or explanation"
disaster,災害,a state of extreme (usually irremediable) ruin and misfortune
discipline,懲戒,a branch of knowledge
discourse,講話,extended verbal expression in speech or writing
discover,発見する,"discover or determine the existence, presence, or fact of"
discovery,発見,the act of discovering something
discrimination,差別,unfair treatment of a person or group on the basis of prejudice
discuss,話し合います,an athletic competition in which a disk-shaped object is thrown as far as possible
discussion,討論,an extended communication (often interactive) dealing with some particular topic
disease,疾患,an impairment of health or a condition of abnormal functioning
dish,皿,a piece of dishware normally used as a container for holding or serving food
dismiss,退出させる,bar from attention or consideration
disorder,無秩序,a physical condition in which there is a disturbance of normal functioning
display,表示,something intended to communicate a particular impression
dispute,紛争,a disagreement or argument about something important
distance,距離,the property created by the space between two objects or points
distant,遠く,separated in space or coming from or going to a distance
distinct,明確な,(often followed by `from') not alike; different in nature or quality
distinction,区別,a discrimination between things as different and distinct
distinguish,見分けます,mark as different
distribute,分配します,"administer or bestow, as in small portions"
distribution,分布,(statistics) an arrangement of values of a variable showing their observed or theoretical frequency of occurrence
district,地区,a region marked off for administrative or other purposes
diverse,多様,many and different
diversity,多様性,noticeable heterogeneity
divide,分割,a serious disagreement between two groups of people (typically producing tension or hostility)
division,分割,an army unit large enough to sustain combat
divorce,離婚,the legal dissolution of a marriage
DNA,DNA,(biochemistry) a long linear polymer found in the nucleus of a cell and formed from nucleotides and shaped like a double helix; associated with the transmission of genetic information
do,行う,an uproarious party
doctor,医師,a licensed medical practitioner
document,資料,writing that provides information (especially information of an official nature)
dog,犬,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds
domestic,国内の,a servant who is paid to perform menial tasks around the household
dominant,支配的な,(music) the fifth note of the diatonic scale
dominate,支配,"be larger in number, quantity, power, status or importance"
door,ドア,a swinging or sliding barrier that will close the entrance to a room or building or vehicle
double,ダブル,a base hit on which the batter stops safely at second base
doubt,疑問に思う,the state of being unsure of something
down,ダウン,soft fine feathers
downtown,ダウンタウン,the central area or commercial center of a town or city
dozen,ダース,the cardinal number that is the sum of eleven and one
draft,ドラフト,a document ordering the payment of money; drawn by one person or bank on another
drag,引っ張る,the phenomenon of resistance to motion through a fluid
drama,ドラマ,a dramatic work intended for performance by actors on a stage
dramatic,劇的,suitable to or characteristic of drama
dramatically,劇的,in a very impressive manner
draw,ドロー,a gully that is shallower than a ravine
drawing,図,"an illustration that is drawn by hand and published in a book, magazine, or newspaper"
dream,夢,a series of mental images and emotions occurring during sleep
dress,ドレス,a one-piece garment for a woman; has skirt and bodice
drink,ドリンク,a single serving of a beverage
drive,ドライブ,the act of applying force to propel something
driver,運転者,the operator of a motor vehicle
drop,落とす,a shape that is spherical and small
drug,薬,a substance that is used as a medicine or narcotic
dry,ドライ,a reformer who opposes the use of intoxicating beverages
due,原因,that which is deserved or owed
dust,ほこり,fine powdery material such as dry earth or pollen that can be blown about in the air
duty,関税,the social force that binds you to the courses of action demanded by that force; ; - John D.Rockefeller Jr
each,各,(used of count nouns) every one considered individually
eager,熱心な,a high wave (often dangerous) caused by tidal flow (as by colliding tidal currents or in a narrow estuary)
ear,耳,the sense organ for hearing and equilibrium
early,早いです,at or near the beginning of a period of time or course of events or before the usual or expected time
earn,得ます,earn on some commercial or business transaction; earn as salary or wages
earnings,収入,the excess of revenues over outlays in a given period of time (including depreciation and other non-cash expenses)
earth,地球,the 3rd planet from the sun; the planet we live on
ease,簡易,freedom from difficulty or hardship or effort
easily,簡単に,with ease (`easy' is sometimes used informally for `easily')
east,東,the cardinal compass point that is at 90 degrees
eastern,東の,lying toward or situated in the east
easy,イージー,posing no difficulty; requiring little effort
eat,食べる,take in solid food
economic,経済の,"of or relating to an economy, the system of production and management of material wealth"
economics,経済,the branch of social science that deals with the production and distribution and consumption of goods and services and their management
economist,エコノミスト,an expert in the science of economics
economy,経済,the system of production and distribution and consumption
edge,縁,the boundary of a surface
edition,版,the form in which a text (especially a printed book) is published
editor,編集者,a person responsible for the editorial aspects of publication; the person who determines the final content of a text (especially of a newspaper or magazine)
educate,教育します,give an education to
education,教育,the activities of educating or instructing; activities that impart knowledge or skill
educational,教育の,relating to the process of education
educator,教師,someone who educates young people
effect,効果,a phenomenon that follows and is caused by some previous phenomenon
effective,効果的な,producing or capable of producing an intended result or having a striking effect; -LewisMumford
effectively,効果的,in an effective manner
efficiency,効率,the ratio of the output to the input of any system
efficient,効率的,being effective without wasting time or effort or expense
effort,努力,earnest and conscientious activity intended to do or accomplish something
egg,卵,animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds
eight,8,the cardinal number that is the sum of seven and one
either,どちらか,after a negative statement used as an intensive meaning something like `likewise' or `also'
elderly,年配,people who are old collectively
elect,次期,an exclusive group of people
election,選挙,a vote to select the winner of a position or political office
electric,電気の,a car that is powered by electricity
electricity,電気,a physical phenomenon associated with stationary or moving electrons and protons
electronic,電子,of or relating to electronics; concerned with or using devices that operate on principles governing the behavior of electrons
element,素子,an abstract part of something
elementary,小学校,easy and not involved or complicated
eliminate,省きます,"terminate, end, or take out"
elite,エリート,a group or class of persons enjoying superior intellectual or social or economic status
elsewhere,他の場所,in or to another place
e-mail,Eメール,(computer science) a system of world-wide electronic communication in which a computer user can compose a message at one terminal that can be regenerated at the recipient's terminal when the recipient logs in
embrace,擁する,the act of clasping another person in the arms (as in greeting or affection)
emerge,出てきます,"come out into view, as from concealment"
emergency,緊急,a sudden unforeseen crisis (usually involving danger) that requires immediate action
emission,放射,the act of emitting; causing to flow forth
emotion,感情,any strong feeling
emotional,感情の,determined or actuated by emotion rather than reason
emphasis,重点,special importance or significance
emphasize,強調,"to stress, single out as important"
employ,採用,the state of being employed or having a job
employee,社員,a worker who is hired to perform a job
employer,雇用者,a person or firm that employs workers
employment,雇用,the state of being employed or having a job
empty,空の,a container that has been emptied
enable,有効,render capable or able for some task
encounter,出会い,a minor short-term fight
encourage,奨励します,contribute to the progress or growth of
end,終わり,either extremity of something that has length
enemy,敵,an opposing military force
energy,エネルギー,(physics) a thermodynamic quantity equivalent to the capacity of a physical system to do work; the units of energy are joules or ergs
enforcement,執行,the act of enforcing; ensuring observance of or obedience to
engage,従事する,carry out or participate in an activity; be involved in
engine,エンジン,motor that converts thermal energy to mechanical work
engineer,エンジニア,a person who uses scientific knowledge to solve practical problems
engineering,エンジニアリング,the practical application of science to commerce or industry
English,英語,an Indo-European language belonging to the West Germanic branch; the official language of Britain and the United States and most of the commonwealth countries
enhance,強化,increase
enjoy,楽しい,derive or receive pleasure from; get enjoyment from; take pleasure in
enormous,莫大,extraordinarily large in size or extent or amount or power or degree; ; ; ; - Walter Lippman
enough,足りる,an adequate quantity; a quantity that is large enough to achieve a purpose
ensure,確保,make certain of
enter,入る,to come or go into
enterprise,企業,a purposeful or industrious undertaking (especially one that requires effort or boldness)
entertainment,エンターテインメント,an activity that is diverting and that holds the attention
entire,全体,uncastrated adult male horse
entirely,全く,to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly')
entrance,入り口,something that provides access (to get in or get out)
entry,エントリ,an item inserted in a written record
environment,環境,the totality of surrounding conditions
environmental,環境の,of or relating to the external conditions or surroundings
episode,エピソード,a happening that is distinctive in a series of related events
equal,等しい,a person who is of equal standing with another in a group
equally,平等に,to the same degree (often followed by `as')
equipment,装置,an instrumentality needed for an undertaking or to perform a service
era,時代,a period marked by distinctive character or reckoned from a fixed point or event
error,エラー,a wrong action attributable to bad judgment or ignorance or inattention
escape,逃れる,the act of escaping physically
especially,特に,to a distinctly greater extent or degree than is common
essay,エッセイ,an analytic or interpretive literary composition
essential,不可欠,anything indispensable
essentially,本来,in essence; at bottom or by one's (or its) very nature
establish,確立する,set up or found
establishment,確立,the act of forming or establishing something
estate,エステート,everything you own; all of your assets (whether real property or personal property) and liabilities
estimate,推計,an approximate calculation of quantity or degree or worth
ethics,倫理,motivation based on ideas of right and wrong
ethnic,エスニック,a person who is a member of an ethnic group
European,欧州の,a native or inhabitant of Europe
evaluate,評価します,"evaluate or estimate the nature, quality, ability, extent, or significance of"
evaluation,評価,act of ascertaining or fixing the value or worth of
even,さえ,the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
evening,イブニング,the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
event,イベント,something that happens at a given place and time
eventually,結局,after an unspecified period of time or an especially long delay
ever,今までに,at any time
every,すべての,(used of count nouns) each and all of the members of a group considered singly and without exception
everyday,毎日,found in the ordinary course of events; ; ; - Anita Diamant
everywhere,どこにでも,to or in any or all places; ; ; ; ; (`everyplace' is used informally for `everywhere')
evidence,証拠,your basis for belief or disbelief; knowledge on which to base belief
evolution,進化,a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)
evolve,進化,work out
exact,精密,claim as due or just
exactly,丁度,indicating exactness or preciseness
examination,検査,the act of examining something closely (as for mistakes)
examine,診る,consider in detail and subject to an analysis in order to discover essential features or meaning
example,例,an item of information that is typical of a class or group
exceed,上回ります,be greater in scope or size than some standard
excellent,優秀な,very good;of the highest quality
except,除きます,take exception to
exception,例外,a deliberate act of omission
exchange,両替,chemical process in which one atom or ion or group changes places with another
exciting,エキサイティング,arouse or elicit a feeling
executive,エグゼクティブ,a person responsible for the administration of a business
exercise,運動,the activity of exerting your muscles in various ways to keep fit
exhibit,示す,an object or statement produced before a court of law and referred to while giving evidence
exhibition,エキシビション,the act of exhibiting
exist,が存在,"have an existence, be extant"
existence,存在,the state or fact of existing
existing,既存の,"have an existence, be extant"
expand,広げます,extend in one or more directions
expansion,拡張,the act of increasing (something) in size or volume or quantity or scope
expect,期待します,regard something as probable or likely
expectation,期待,belief about (or mental picture of) the future
expense,費用,amounts paid for goods and services that may be currently tax deductible (as opposed to capital expenditures)
expensive,高価な,high in price or charging high prices
experience,経験,the accumulation of knowledge or skill that results from direct participation in events or activities
experiment,実験,the act of conducting a controlled test or investigation
expert,専門,a person with special knowledge or ability who performs skillfully
explain,説明します,make plain and comprehensible
explanation,説明,a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.
explode,爆発します,cause to burst with a violent release of energy
explore,見る,inquire into
explosion,爆発,a violent release of energy caused by a chemical or nuclear reaction
expose,晒します,the exposure of an impostor or a fraud
exposure,曝露,vulnerability to the elements; to the action of heat or cold or wind or rain;  or
express,急行,mail that is distributed by a rapid and efficient system
expression,表現,the feelings expressed on a person's face
extend,延ばします,extend in scope or range or area
extension,拡張,a mutually agreed delay in the date set for the completion of a job or payment of a debt
extensive,広範囲,large in spatial extent or range or scope or quantity
extent,エクステント,the point or degree to which something extends
external,外部の,outward features
extra,エクストラ,a minor actor in crowd scenes
extraordinary,素晴らしいです,beyond what is ordinary or usual; highly unusual or exceptional or remarkable
extreme,極端な,the furthest or highest degree of something
extremely,極めて,to a high degree or extent; favorably or with much respect
eye,眼,the organ of sight
fabric,ファブリック,artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
face,面,the front of the human head from the forehead to the chin and ear to ear
facility,施設,a building or place that provides a particular service or is used for a particular industry
fact,事実,a piece of information about circumstances that exist or events that have occurred
factor,因子,anything that contributes causally to a result
factory,工場,a plant consisting of one or more buildings with facilities for manufacturing
faculty,学部,one of the inherent cognitive or perceptual powers of the mind
fade,フェード,a golf shot that curves to the right for a right-handed golfer
fail,不合格,fail to do something; leave something undone
failure,故障,an act that fails
fair,公正な,a traveling show; having sideshows and rides and games of skill etc.
fairly,かなり,to a moderately sufficient extent or degree
faith,信仰,a strong belief in a supernatural power or powers that control human destiny
fall,秋,the season when the leaves fall from the trees
FALSE,FALSE,not in accordance with the fact or reality or actuality
familiar,よく知られています,a person attached to the household of a high official (as a pope or bishop) who renders service in return for support
family,家族,a social unit living together
famous,名高いです,widely known and esteemed
fan,ファン,a device for creating a current of air by movement of a surface or surfaces
fantasy,ファンタジー,imagination unrestricted by reality
far,遥か,a terrorist organization that seeks to overthrow the government dominated by Tutsi and to institute Hutu control again
farm,ファーム,workplace consisting of farm buildings and cultivated land as a unit
farmer,農家,a person who operates a farm
fashion,ファッション,how something is done or how it happens
fast,速いです,abstaining from food
fat,太い,a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides)
fate,運命,an event (or a course of events) that will inevitably happen in the future
father,お父さん,a male parent (also used as a term of address to your father)
fault,欠陥,a wrong action attributable to bad judgment or ignorance or inattention
favor,好意,an act of gracious kindness
favorite,お気に入り,something regarded with special favor or liking
fear,恐れ,an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
feature,特徴,a prominent attribute or aspect of something
federal,連邦の,a member of the Union Army during the American Civil War
fee,費用,a fixed charge for a privilege or for professional services
feed,フィード,food for domestic livestock
feel,感じます,an intuitive awareness;  or
feeling,感じ,the experiencing of affective and emotional states
fellow,仲間,a boy or man
female,女性,an animal that produces gametes (ova) that can be fertilized by male gametes (spermatozoa)
fence,フェンス,a barrier that serves to enclose an area
few,少数,a small elite group
fewer,少ないです,(comparative of `few' used with count nouns) quantifier meaning a smaller number of
fiber,ファイバ,a slender and greatly elongated substance capable of being spun into yarn
fiction,フィクション,a literary work based on the imagination and not necessarily on fact
field,フィールド,a piece of land cleared of trees and usually enclosed
fifteen,15,the cardinal number that is the sum of fourteen and one
fifth,第五の,a quantity of liquor equal to one fifth of a United States gallon
fifty,五十,the cardinal number that is the product of ten and five
fight,戦い,a hostile meeting of opposing military forces in the course of a war
fighter,戦士,someone who fights (or is fighting)
fighting,戦い,the act of fighting; any contest or struggle
figure,フィギュア,a diagram or picture illustrating textual material
file,ファイル,a set of related records (either written or electronic) kept together
fill,フィル,a quantity sufficient to satisfy
film,映画,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
final,最後の,the final match between the winners of all previous matches in an elimination tournament
finally,最終的に,after an unspecified period of time or an especially long delay
finance,ファイナンス,the commercial activity of providing funds and capital
financial,金融,involving financial matters
find,見つけます,a productive insight
finding,発見,"the act of determining the properties of something, usually by research or calculation"
fine,罰金,money extracted as a penalty
finger,指,any of the terminal members of the hand (sometimes excepting the thumb)
finish,仕上がり,a decorative texture or appearance of a surface (or the substance that gives it that appearance)
fire,火,the event of something burning (often destructive)
firm,当社,the members of a business organization that owns or operates one or more establishments
first,最初,the first or highest in an ordering or series
fish,魚,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills
fishing,釣り,the act of someone who fishes as a diversion
fit,フィット,a display of bad temper
fitness,フィットネス,the quality of being suitable
five,五,the cardinal number that is the sum of four and one
fix,修正,informal terms for a difficult situation
flag,国旗,emblem usually consisting of a rectangular piece of cloth of distinctive design
flame,火炎,the process of combustion of inflammable materials producing heat and light and (often) smoke
flat,平らな,a level tract of land
flavor,味,the general atmosphere of a place or situation and the effect that it has on people
flee,逃げます,run away quickly
flesh,肉,the soft tissue of the body of a vertebrate: mainly muscle tissue and fat
flight,フライト,a formation of aircraft in flight
float,浮く,the time interval between the deposit of a check in a bank and its payment
floor,床,"the inside lower horizontal surface (as of a room, hallway, tent, or other structure)"
flow,フロー,the motion characteristic of fluids (liquids or gases)
flower,花,a plant cultivated for its blooms or blossoms
fly,飛ぶ,two-winged insects characterized by active flight
focus,フォーカス,the concentration of attention or energy on something
folk,フォーク,people in general (often used in the plural)
follow,従います,"to travel behind, go after, come after"
following,以下,a group of followers or enthusiasts
food,食物,any substance that can be metabolized by an animal to give energy and build tissue
foot,足,the part of the leg of a human being below the ankle joint
football,フットボール,any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal
force,力,a powerful effect or influence
foreign,外国の,of concern to or concerning the affairs of other nations (other than your own)
forest,森林,the trees and other plants in a large densely wooded area
forever,永久に,for a limitless time; ; - P.P.Bliss
forget,忘れる,dismiss from the mind; stop remembering
form,形,the phonological or orthographic sound or appearance of a word that can be used to describe or identify something
formal,フォーマル,a lavish dance requiring formal attire
formation,形成,an arrangement of people or things acting as a unit
former,前者,the first of two or the first mentioned of two
formula,式,a group of symbols that make a mathematical statement
forth,前方へ,a river in southern Scotland that flows eastward to the Firth of Forth
fortune,幸運,an unknown and unpredictable phenomenon that causes an event to result one way rather than another
forward,前方に,"the person who plays the position of forward in certain games, such as basketball, soccer, or hockey"
found,ました,food and lodging provided in addition to money
foundation,財団,the basis on which something is grounded
founder,創業者,inflammation of the laminated tissue that attaches the hoof to the foot of a horse
four,四,the cardinal number that is the sum of three and one
fourth,第4,following the third position; number four in a countable series
frame,フレーム,the framework for a pair of eyeglasses
framework,フレームワーク,a hypothetical description of a complex entity or process
free,自由,people who are free
freedom,自由,the condition of being free; the power to act or speak or think without externally imposed restraints
freeze,氷結,the withdrawal of heat to change something from a liquid to a solid
French,フランス語,the Romance language spoken in France and in countries colonized by France
frequency,周波数,the number of occurrences within a given time period
frequent,頻出,do one's shopping at; do business with; be a customer or client of
frequently,しばしば,many times at short intervals
fresh,新鮮な,"recently made, produced, or harvested"
friend,友人,a person you know well and regard with affection and trust
friendly,優しいです,troops belonging to or allied with your own military forces
friendship,友情,the state of being friends (or friendly)
front,前面,the side that is forward or prominent
fruit,フルーツ,the ripened reproductive body of a seed plant
frustration,欲求不満,the feeling that accompanies an experience of being thwarted in attaining your goals
fuel,燃料,a substance that can be consumed to produce energy
full,いっぱい,the time when the Moon is fully illuminated
fully,十分,to the greatest degree or extent; completely or entirely; (`full' in this sense is used as a combining form)
fun,遊び,activities that are enjoyable or amusing
function,関数,(mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function)
fund,基金,a reserve of money set aside for some purpose
fundamental,基本的な,any factor that could be considered important to the understanding of a particular business
funding,資金調達,financial resources provided to make some project possible
funeral,葬儀,a ceremony at which a dead person is buried or cremated
funny,おもしろいです,an account of an amusing incident (usually with a punch line)
furniture,家具,furnishings that make a room or other area ready for occupancy
furthermore,更に,in addition
future,未来,the time yet to come
gain,利得,a quantity that is added
galaxy,銀河,a splendid assemblage (especially of famous people)
gallery,画廊,spectators at a golf or tennis match
game,ゲーム,a contest with rules to determine a winner
gang,ギャング,an association of criminals
gap,ギャップ,a conspicuous disparity or difference as between two figures
garage,ガレージ,an outbuilding (or part of a building) for housing automobiles
garden,庭園,a plot of ground where plants are cultivated
garlic,ニンニク,bulbous herb of southern Europe widely naturalized; bulb breaks up into separate strong-flavored cloves
gas,ガス,the state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container
gate,ゲート,a movable barrier in a fence or wall
gather,ギャザー,sewing consisting of small folds or puckers made by pulling tight a thread in a line of stitching
gay,ゲイ,someone who practices homosexuality; having a sexual attraction to persons of the same sex
gaze,視線,a long fixed look
gear,装備,a toothed wheel that engages another toothed mechanism in order to change the speed or direction of transmitted motion
gender,性別,a grammatical category in inflected languages governing the agreement between nouns and pronouns and adjectives; in some languages it is quite arbitrary but in Indo-European languages it is usually based on sex or animateness
gene,遺伝子,(genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity
general,一般的な,a general officer of the highest rank
generally,概して,usually; as a rule
generate,生む,bring into existence
generation,世代,all the people living at the same time or of approximately the same age
genetic,遺伝子の,occurring among members of a family usually by heredity
gentleman,紳士,a man of refinement
gently,優しく,in a gradual manner
German,ドイツ人,a person of German nationality
gesture,ジェスチャー,motion of hands or body to emphasize or help to express a thought or feeling
get,取得する,a return on a shot that seemed impossible to reach and would normally have resulted in a point for the opponent
ghost,幽霊,a mental representation of some haunting experience
giant,巨人,any creature of exceptional size
gift,贈り物,something acquired without compensation
gifted,才能,give qualities or abilities to
girl,女の子,a young woman
girlfriend,ガールフレンド,any female friend
give,与える,the elasticity of something that can be stretched and returns to its original length
given,所与,an assumption that is taken for granted
glad,嬉しいです,any of numerous plants of the genus Gladiolus native chiefly to tropical and South Africa having sword-shaped leaves and one-sided spikes of brightly colored funnel-shaped flowers; widely cultivated
glance,一目,a quick look
glass,ガラス,a brittle transparent solid with irregular atomic structure
global,グローバル,involving the entire earth; not limited or provincial in scope
glove,グローブ,the handwear used by fielders in playing baseball
go,行きます,a time for working (after which you will be relieved by someone else)
goal,ゴール,the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it
God,神,the supernatural being conceived as the perfect and omnipotent and omniscient originator and ruler of the universe; the object of worship in monotheistic religions
gold,ゴールド,coins made of gold
golden,ゴールデン,having the deep slightly brownish color of gold
golf,ゴルフ,a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes
good,良い,benefit
government,政府,the organization that is the governing authority of a political unit
governor,知事,the head of a state government
grab,つかむ,a mechanical device for gripping an object
grade,グレード,a body of students who are taught together
gradually,徐々に,in a gradual manner
graduate,卒業,a person who has received a degree from a school (high school or college or university)
grain,粒,a relatively small granular particle of a substance
grand,壮大な,the cardinal number that is the product of 10 and 100
grandfather,祖父,the father of your father or mother
grandmother,祖母,the mother of your father or mother
grant,付与,any monetary aid
grass,草,narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay
grave,墓,death of a person
gray,グレー,a neutral achromatic color midway between white and black
great,すごい,a person who has achieved distinction and honor in some field
greatest,最高の,highest in quality
green,緑,green color or pigment; resembling the color of growing grass
grocery,食料品,a marketplace where groceries are sold
ground,接地,the solid part of the earth's surface
group,グループ,any number of entities (members) considered as a unit
grow,育ちます,"pass into a condition gradually, take on a specific property or attribute; become"
growing,成長,(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level
growth,成長,(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level
guarantee,保証,a written assurance that some product or service will be provided or will meet certain specifications
guard,ガード,a person who keeps watch over something or someone
guess,推測,a message expressing an opinion based on incomplete evidence
guest,ゲスト,a visitor to whom hospitality is extended
guide,ガイド,someone employed to conduct others
guideline,ガイドライン,a light line that is used in lettering to help align the letters
guilty,有罪の,responsible for or chargeable with a reprehensible act
gun,銃,a weapon that discharges a missile at high velocity (especially from a metal tube or barrel)
guy,男,an informal term for a youth or man
habit,習慣,an established custom
habitat,生息地,the type of environment in which an organism or group normally lives or occurs
hair,ヘア,a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss
half,ハーフ,one of two equal parts of a divisible whole
hall,ホール,an interior passage or corridor onto which rooms open
hand,手,the (prehensile) extremity of the superior limb
handful,一握り,a small number or amount
handle,扱う,the appendage to an object that is designed to be held in order to use or move it
hang,ハング,a special way of doing something
happen,起こります,come to pass
happy,ハッピー,enjoying or showing or marked by joy or pleasure
hard,ハード,not easy; requiring great physical or mental effort to accomplish or comprehend or endure
hardly,漸く,only a very short time before; ; ; ; ; - W.B.Yeats
hat,帽子,headdress that protects the head from bad weather; has shaped crown and usually a brim
hate,嫌い,the emotion of intense dislike; a feeling of dislike so strong that it demands action
have,持ってる,a person who possesses great material wealth
he,彼,a very light colorless element that is one of the six inert gasses; the most difficult gas to liquefy; occurs in economically extractable amounts in certain natural gases (as those found in Texas and Kansas)
head,頭,the upper part of the human body or the front part of the body in animals; contains the face and brains
headline,見出し,the heading or caption of a newspaper article
headquarters,本部,(usually plural) the office that serves as the administrative center of an enterprise
health,健康,a healthy state of wellbeing free from disease
healthy,元気,having or indicating good health in body or mind; free from infirmity or disease
hear,聞く,perceive (sound) via the auditory sense
hearing,聴覚,(law) a proceeding (usually by a court) where evidence is taken for the purpose of determining an issue of fact and reaching a decision based on that evidence
heart,ハート,the locus of feelings and intuitions
heat,熱,a form of energy that is transferred by a difference in temperature
heaven,天国,any place of complete bliss and delight and peace
heavily,ずっしり,to a considerable degree
heavy,ヘビー,an actor who plays villainous roles
heel,ヒール,the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation
height,高さ,the vertical dimension of extension; distance from the base of something to the top
helicopter,ヘリコプター,an aircraft without wings that obtains its lift from the rotation of overhead blades
hell,地獄,any place of pain and turmoil
hello,こんにちは,an expression of greeting
help,助けて,the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
helpful,有用,providing assistance or serving a useful function
here,ここに,the present location; this place
heritage,遺産,practices that are handed down from the past by tradition
hero,ヒーロー,a man distinguished by exceptional courage and nobility and strength
hi,こんにちは,an expression of greeting
hide,隠す,the dressed skin of an animal (especially a large animal)
high,高い,a lofty level or position or degree
highlight,ハイライト,the most interesting or memorable part
highly,高度に,to a high degree or extent; favorably or with much respect
highway,高速道路,a major road for any form of motor transport
hill,丘,a local and well-defined elevation of the land
hip,ヒップ,either side of the body below the waist and above the thigh
hire,雇う,a newly hired employee
historian,歴史家,a person who is an authority on history and who studies it and writes about it
historic,歴史的,belonging to the past; of what is important or famous in the past
historical,歴史的,of or relating to the study of history
history,歴史,the aggregate of past events
hit,ヒット,(baseball) a successful stroke in an athletic contest (especially in baseball)
hold,ホールド,the act of grasping
hole,穴,an opening into or through something
holiday,休日,leisure time away from work devoted to rest or pleasure
holy,聖なる,a sacred place of pilgrimage
home,家,where you live at a particular time
homeless,ホームレス,someone unfortunate without housing
honest,正直な,not disposed to cheat or defraud; not deceptive or fraudulent
honey,はちみつ,a sweet yellow liquid produced by bees
honor,名誉,a tangible symbol signifying approval or distinction
hope,望む,a specific instance of feeling hopeful
horizon,地平線,the line at which the sky and Earth appear to meet
horror,ホラー,intense and profound fear
horse,うま,solid-hoofed herbivorous quadruped domesticated since prehistoric times
hospital,病院,a health facility where patients receive treatment
host,ホスト,a person who invites guests to a social event (such as a party in his or her own home) and who is responsible for them while they are there
hot,ホット,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning
hotel,ホテル,a building where travelers can pay for lodging and meals and other services
hour,時間,a period of time equal to 1/24th of a day
house,家,a dwelling that serves as living quarters for one or more families
household,家庭,a social unit living together
housing,ハウジング,structures collectively in which people are housed
however,しかしながら,despite anything to the contrary (usually following a concession)
huge,巨大,unusually great in size or amount or degree or especially extent or scope; ; ; ; ; ; ; ; ; - W.R.Inge
human,人間,"any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage"
humor,ユーモア,a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter
hundred,百,ten 10s
hungry,空腹の,feeling hunger; feeling a need or desire to eat food
hunter,猟師,someone who hunts game
