英単語,日本語,英語意味
jazz,ジャズ,empty rhetoric or insincere or exaggerated talk
jealous,嫉妬,showing extreme cupidity; painfully desirous of another's advantages
jewel,宝石,a precious or semiprecious stone incorporated into a piece of jewelry
jog,ジョグ,a sharp change in direction
jogging,ジョギング,running at a jog trot as a form of cardiopulmonary exercise
joint,ジョイント,(anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)
joke,冗談で,a humorous anecdote or remark intended to provoke laughter
journal,ジャーナル,a daily written record of (usually personal) experiences and observations
journalist,ジャーナリスト,a writer for newspapers and magazines
judge,裁判官,a public official authorized to decide questions brought before a court of justice
judgment,判定,an opinion formed by judging something
jug,水差し,a large bottle with a narrow mouth
juicy,ジューシー,full of juice
jumper,ジャンパー,a person who jumps
jungle,密林,a location marked by an intense competition and struggle for survival
justice,正義,the quality of being just or fair
kettle,ケトル,a metal pot for stewing or boiling; usually has a lid
keyboard,キーボード,device consisting of a set of keys on a piano or organ or typewriter or typesetting machine or computer or the like
kid,キッド,a young person of either sex
killing,殺害,an event that causes someone to die
kindly,何卒,showing or motivated by sympathy and understanding and generosity
kindness,親切,the quality of being warmhearted and considerate and humane and sympathetic
kiss,接吻,the act of caressing with the lips (or an instance thereof)
kitten,子猫,young domestic cat
knit,ニット,a fabric made by knitting
knock,ノック,the sound of knocking (as on a door or in an engine or bearing)
lab,ラボ,a workplace for the conduct of scientific research
laboratory,研究室,a workplace for the conduct of scientific research
ladder,はしご,steps consisting of two parallel members connected by rungs; for climbing up or down
lamb,子羊,young sheep
land,土地,the land on which real estate is located
landlord,家主,a landowner who leases to others
largely,大部分,in large part; mainly or chiefly
last,最終,the temporal end; the concluding time
lasting,持続,persist for a specified period of time
latecomer,後発,someone who arrives late
lately,近頃,in the recent past
laugh,笑い,the sound of laughing
laughter,笑い,the sound of laughing
launch,打ち上げ,a motorboat with an open deck or a half deck
lawful,合法的,conformable to or allowed by law
lay,素人,a narrative song with a recurrent refrain
layer,層,single thickness of usually some homogeneous substance
lead,鉛,an advantage held by a competitor in a race
leadership,リーダーシップ,the activity of leading
leading,リーディング,thin strip of metal used to separate lines of type in printing
league,同盟,an association of sports teams that organizes matches for its members
lean,リーン,the property possessed by a line or surface that departs from the vertical
leap,跳躍,"a light, self-propelled movement upwards or forwards"
least,最低,something that is of no importance
leave,休暇,the period of time during which you are absent from work or duty
lecture,講義,a speech that is open to the public
legal,法的,established by or founded upon law or official or accepted rules
legally,合法的に,by law; conforming to the law
length,長さ,the linear extent in space from one end to the other; the longest dimension of something that is fixed in place
lessen,少なくなります,"decrease in size, extent, or range"
lettuce,レタス,informal terms for money
level,レベル,a position on a scale of intensity or amount or quality
liar,うそつき,a person who has lied or who lies repeatedly
liberate,解放,give equal rights to; of women and minorities
liberation,解放,the act of liberating someone or something
librarian,司書,a professional person trained in library science and engaged in library services
lie,横たわる,a statement that deviates from or perverts the truth
lifeguard,ライフガード,an attendant employed at a beach or pool to protect swimmers from accidents
lifelong,生涯,continuing through life
lift,リフト,the act of giving temporary assistance
light,光,(physics) electromagnetic radiation that can produce a visual sensation
lighter,ライター,a substance used to ignite or kindle a fire
lightly,軽く,without good reason
lightning,ライトニング,abrupt electric discharge from cloud to cloud or from cloud to earth accompanied by the emission of light
like,お気に入り,"a similar kind; ,"
likeness,似顔絵,similarity in appearance or character or nature between persons or things
limit,リミット,the greatest possible degree of something
limitation,制限,a principle that limits the extent of something
limited,限られました,public transport consisting of a fast train or bus that makes only a few scheduled stops
limp,ぐったり,the uneven manner of walking that results from an injured leg
link,リンク,the means of connection between things linked in series
liquid,液体,a substance that is liquid at room temperature and pressure
literary,文学の,of or relating to or characteristic of literature
literature,文献,creative writing of recognized artistic value
little,少し,a small amount or duration
live,住む,inhabit or live in; be an inhabitant of
liver,肝臓,large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes
loaf,パン,a shaped mass of baked bread that is usually sliced before eating
locate,見つけます,discover the location of; determine the place of; find by searching or examining
location,ロケーション,a point or extent in space
lock,ロック,a fastener fitted to a door or drawer to keep it firmly closed
lodge,ロッジ,English physicist who studied electromagnetic radiation and was a pioneer of radiotelegraphy (1851-1940)
log,ログ,a segment of the trunk of a tree when stripped of branches
logic,論理,the branch of philosophy that analyzes inference
logo,ロゴ,a company emblem or device
lorry,貨物自動車,a large low horse-drawn wagon without sides
loss,損失,something that is lost
lottery,宝くじ,something that is regarded as a chance event
loud,うるさいです,characterized by or producing sound of great volume or intensity
loudspeaker,ラウドスピーカー,electro-acoustic transducer that converts electrical signals into sounds loud enough to be heard at a distance
lovingly,愛情を込めて,with fondness; with love
loyal,ロイヤル,steadfast in allegiance or duty
loyalty,ロイヤリティ,the quality of being loyal
luggage,荷物,cases used to carry belongings when traveling
lung,肺,either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood
luxury,贅沢,something that is an indulgence rather than a necessity
magical,魔法の,possessing or using or characteristic of or appropriate to supernatural powers; ; ; ; - Shakespeare
magician,マジシャン,someone who performs magic tricks to amuse an audience
magnificent,壮大,characterized by grandeur
mail,郵便物,the bags of letters and packages that are transported by the postal service
mailbox,ポスト,a private box for delivery of mail
main,メイン,any very large body of (salt) water
maintain,維持します,"keep in a certain state, position, or activity; e.g.,"
maintenance,メンテナンス,activity involved in maintaining something in good working order
majority,大多数,the property resulting from being or relating to the greater in number of two parts; the main part
male,男性,an animal that produces gametes (spermatozoa) that can fertilize female gametes (ova)
management,管理,the act of managing something
mankind,人類,all of the living human inhabitants of the earth
maple,メープル,wood of any of various maple trees; especially the hard close-grained wood of the sugar maple; used especially for furniture and flooring
marble,大理石,a hard crystalline metamorphic rock that takes a high polish; used for sculpture and as building material
march,行進,the month following February and preceding April
marine,マリン,a member of the United States Marine Corps
marked,マークされた,attach a tag or label to
market,市場,the world of commercial activity where goods and services are bought and sold
marriage,結婚,the state of being a married couple voluntarily joined for life (or until divorce)
mash,マッシュ,a mixture of mashed malt grains and hot water; used in brewing
mass,質量,the property of a body that causes it to have weight in a gravitational field
massive,大規模な,imposing in size or bulk or solidity
match,一致,lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical; ignites with friction
mathematician,数学者,a person skilled in mathematics
mathematics,数学,a science (or group of related sciences) dealing with the logic of quantity and shape and arrangement
maximum,最大,the largest possible quantity
mayor,市長,the head of a city government
meaningful,重要,having a meaning or purpose
meanwhile,その間に,"the time between one event, process, or period and another"
measure,対策,any maneuver made as part of progress toward a goal
measurement,測定,the act or process of assigning numbers to phenomena according to a rule
mechanic,メカニック,a craftsman skilled in operating machine tools
mechanical,メカニカル,using (or as if using) mechanisms or tools or devices
meditate,瞑想,reflect deeply on a subject
meditation,瞑想,continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature
Mediterranean,地中海,the largest inland sea; between Europe and Africa and Asia
medium,中,a means or instrumentality for storing or communicating information
melt,メルト,the process whereby heat changes something from a solid to a liquid
membership,メンバーシップ,the body of members of an organization or group
memorable,思い出深い,worth remembering
memorize,暗記,commit to memory; learn by heart
mend,繕う,sewing that repairs a worn or torn hole (especially in a garment)
mental,メンタル,involving the mind or an intellectual process
mentally,精神的に,in your mind
mention,言及,a remark that calls attention to something or someone
merchant,商人,a businessperson engaged in retail trade
mere,ほんの,a small pond of standing water
merely,単に,and nothing more
mess,乱雑,a state of confusion and disorderliness
messy,汚いです,dirty and disorderly
middle-aged,中年,being roughly between 45 and 65 years old
mild,軽度,moderate in type or degree or effect or force; far from extreme
mile,マイル,"a unit of length equal to 1,760 yards or 5,280 feet; exactly 1609.344 meters"
mineral,ミネラル,solid homogeneous inorganic substances occurring in nature having a definite chemical composition
minimize,最小にします,make small or insignificant
minimum,最小,the smallest possible quantity
minor,マイナー,a young person of either sex
minority,少数,a group of people who differ racially or politically from a larger group of which it is a part
minus,マイナス,an arithmetic operation in which the difference between two numbers is calculated
miracle,奇跡,any amazing or wonderful occurrence
mischief,いたずら,reckless or malicious behavior that causes discomfort or annoyance in others
miserable,惨め,very unhappy; full of misery
misery,悲惨,a state of ill-being due to affliction or misfortune
mislead,誤解,lead someone in the wrong direction or give someone wrong directions
mission,ミッション,an organization of missionaries in a foreign land sent to carry on religious work
misty,もやもや,filled or abounding with fog or mist
misunderstanding,誤解,putting the wrong interpretation on
model,モデル,a hypothetical description of a complex entity or process
modem,モデム,(from a combination of MOdulate and DEModulate) electronic equipment consisting of a device used to connect computers by a telephone line
moderate,適度,a person who takes a position in the political center
modify,変更,make less severe or harsh or extreme
moisture,水分,wetness caused by water
molecule,分子,(physics and chemistry) the simplest structural unit of an element or compound
monitor,モニター,someone who supervises (an examination)
monk,モンク,a male religious living in a cloister and devoting himself to contemplation and prayer and work
monster,モンスター,an imaginary creature usually having various human and animal parts
monthly,毎月,a periodical that is published every month (or 12 issues per year)
monument,記念碑,a structure erected to commemorate persons or events
moral,道徳の,the significance of a story or event
more,もっと,"English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state"
moreover,又,in addition
mosquito,蚊,two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals
moss,モス,tiny leafy-stemmed flowerless plants
motherland,祖国,the country where you were born
motionless,不動,not in physical motion
motivate,動機付ける,give an incentive for action
motivation,動機,the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
motive,動かす,the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
motor,モーター,machine that converts other forms of energy into mechanical energy and so imparts motion
motorcycle,オートバイ,a motor vehicle with two wheels and a strong frame
motto,モットー,a favorite saying of a sect or political group
mount,マウント,a lightweight horse kept for riding only
mourn,悼みます,feel sadness
movement,移動,a change of position that does not entail a change of location
mud,泥,water soaked soil; soft wet earth
mule,騾馬,hybrid offspring of a male donkey and a female horse; usually sterile
murder,殺人,unlawful premeditated killing of a human being by a human being
murderer,殺人者,a criminal who commits homicide (who performs the unlawful premeditated killing of another human being)
muscle,筋,one of the contractile organs of the body
mustard,マスタード,any of several cruciferous plants of the genus Brassica
mutual,相互,common to or shared by two or more parties
myth,神話,a traditional story accepted as history; serves to explain the world view of a people
nail,ネイル,horny plate covering and protecting part of the dorsal surface of the digits
naked,裸,completely unclothed
name,名前,a language unit by which a person or thing is known
nap,昼寝,a period of time spent sleeping
narrate,ナレーション,"provide commentary for a film, for example"
narrative,説話,a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program
narrow,狭い,a narrow strait connecting two bodies of water
nasty,不快な,offensive or even (of persons) malicious; ; ; ; ; ; - Ezra Pound
nationalist,民族主義者,one who loves and defends his or her country
naturally,当然,as might be expected
near,近く,move towards
nearby,近所の,close at hand
necklace,ネックレス,jewelry consisting of a cord or chain (often bearing gems) worn about the neck as an ornament (especially by women)
nectar,甘露,a sweet liquid secretion that is attractive to pollinators
needle,針,the leaf of a conifer
negotiate,交渉します,discuss the terms of an arrangement
negotiation,ネゴシエーション,a discussion intended to produce an agreement
neighborhood,ご近所,a surrounding or nearby region
nephew,甥,a son of your brother or sister
nervousness,緊張感,the anxious feeling you have when you have the jitters
ness,ネス,a strip of land projecting into a body of water
net,ネット,a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange
network,通信網,an interconnected system of things or people
neutral,中性,one who does not side with any party in a war or dispute
nevertheless,それにもかかわらず,despite anything to the contrary (usually following a concession)
newborn,新生児,a baby from birth to four weeks
newcomer,新入社員,any new participant in some activity
newly,新しく,very recently
nickname,ニックネーム,a familiar name for a person (often a shortened version of a person's given name)
niece,姪,a daughter of your brother or sister
nightlife,ナイトライフ,the entertainment available to people seeking nighttime diversion
nod,うなずき,a sign of assent or salutation or command
noisily,わいわい,with much noise or loud and unpleasant sound
none,なし,a canonical hour that is the ninth hour of the day counting from sunrise
nonetheless,それにもかかわらず,despite anything to the contrary (usually following a concession)
nonsense,無意味,a message that seems to convey no meaning
normally,通常は,under normal conditions
northeast,北東,the compass point midway between north and east; at 45 degrees
northeastern,東北,situated in or oriented toward the northeast
northern,北方,a dialect of Middle English that developed into Scottish Lallans
northwest,北西,the northwestern region of the United States
northwestern,北西部,situated in or oriented toward the northwest
notice,通知,"an announcement containing information about an event; ; ; ""a notice of sale"
noticeable,注目すべき,capable or worthy of being perceived
notion,概念,a vague idea in which some confidence is placed
notorious,悪名高い,known widely and usually unfavorably
novelist,小説家,one who writes novels
nowhere,どこにも,an insignificant place
nuclear,核の,(weapons) deriving destructive energy from the release of atomic energy
nucleus,核,a part of the cell containing DNA and RNA and responsible for growth and reproduction
numerous,数々,amounting to a large indefinite number
nurse,ナース,one skilled in caring for young children or the sick (usually under the supervision of a physician)
nutrient,栄養素,any substance that can be metabolized by an animal to give energy and build tissue
nutrition,栄養,(physiology) the organic process of nourishing or being nourished; the processes by which an organism assimilates food and uses it for growth and maintenance
nutritious,栄養価の高いです,of or providing nourishment
object,オブジェクト,a tangible and visible entity; an entity that can cast a shadow
objection,異議,the act of expressing earnest opposition or protest
objective,目的,the goal intended to be attained (and which is believed to be attainable)
observation,観察,the act of making and recording a measurement
observe,観察する,"discover or determine the existence, presence, or fact of"
obstacle,障害,something immaterial that stands in the way and must be circumvented or surmounted
obtain,入手します,come into possession of
obvious,明らか,easily perceived by the senses or grasped by the mind
obviously,明らかに,unmistakably (`plain' is often used informally for `plainly')
occasion,時,an event that occurs at a critical time
occasional,偶発的,occurring from time to time
occasionally,時には,now and then or here and there
occupy,占める,keep busy with
occur,発生する,come to pass
ocean,海洋,a large body of water constituting a principal part of the hydrosphere
off,オフ,kill intentionally and with premeditation
offensive,攻撃,the action of attacking an enemy
officially,正式に,in an official role
oily,油の,containing an unusual amount of grease or oil
old-fashioned,古風な,out of fashion
onstage,ステージ上,situated or taking place on the area of a stage visible to the audience
opening,オープニング,an open or empty space in or between things
operation,操作,the state of being in effect or being operative
opposite,逆の,"a word that expresses a meaning opposed to the meaning of another word, in which case the two words are antonyms of each other"
opposition,反対,the action of opposing something that you disapprove or disagree with
oppress,虐げます,come down on or keep down by unjust use of one's authority
oppression,抑圧,the act of subjugating by cruelty
option,オプション,the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited
oral,オーラル,an examination conducted by spoken communication
orbit,軌道,the (usually elliptical) path described by one celestial body in its revolution about another
orchestra,オーケストラ,a musical organization consisting of a group of instrumentalists including string players
orderly,整然とした,a soldier who serves as an attendant to a superior officer
ordinary,一般,a judge of a probate court
organ,器官,a fully differentiated structural and functional unit in an animal that is specialized for some particular function
organic,オーガニック,a fertilizer that is derived from animal or vegetable matter
organism,生命体,a living thing that has (or can develop) the ability to act or function independently
organization,組織,a group of people who work together
origin,原点,"the place where something begins, where it springs into being"
otherwise,そうでなければ,other than as supposed or expected
outdoor,アウトドア,"located, suited for, or taking place in the open air"
outdoors,屋外,where the air is unconfined
outer,アウター,being on the outside or further from a center
outlaw,無法者,someone who has committed a crime or has been legally convicted of a crime
outline,概要,the line that appears to bound an object
out-of-date,時代遅れ,old; no longer valid or fashionable
outstanding,未解決の,distinguished from others in excellence
outward,外側,relating to physical reality rather than with thoughts or the mind
outweigh,上回ります,be heavier than
overcome,打ち勝ちます,win a victory over
overjoyed,大喜びしました,cause to feel extremely joyful or happy
overnight,一晩,"lasting, open, or operating through the whole night"
overwhelm,圧倒する,"overcome, as with emotions or perceptual stimuli"
overwhelming,圧倒的な,"overcome, as with emotions or perceptual stimuli"
overwork,過労,the act of working too much or too long
owe,負います,be obliged to pay or repay
owing,借金,be obliged to pay or repay
own,自分の,have ownership or possession of
oxygen,酸素,a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas; constitutes 21 percent of the atmosphere by volume; the most abundant element in the earth's crust
pace,ペース,the rate of moving (especially walking or running)
package,パッケージ,a collection of things wrapped or boxed together
packing,梱包,any material used especially to protect something
paddle,パドル,small wooden bat with a flat surface; used for hitting balls in various games
paid,支払いました,"give money, usually in exchange for goods or services"
pain,痛み,a symptom of some physical hurt or disorder
painful,痛いです,causing physical or psychological pain
pale,淡いです,a wooden strip forming part of a fence
palm,手のひら,the inner surface of the hand from the wrist to the base of the fingers
parachute,パラシュート,rescue equipment consisting of a device that fills with air and retards your fall
paradise,パラダイス,any place of complete bliss and delight and peace
paralyze,麻痺,make powerless and unable to function
parcel,小包,a wrapped container
pardon,恩赦,the act of excusing a mistake or offense
parental,親の,designating the generation of organisms from which hybrid offspring are produced
parking,パーキング,space in which vehicles can be parked
parrot,鸚鵡,usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds
partial,部分的,the derivative of a function of two or more variables with respect to a single variable while the other variables are considered to be constant
participant,参加者,someone who takes part in an activity
participate,参加します,share in something
participle,分詞,a non-finite form of the verb; in English it is used adjectivally and to form compound tenses
particularly,特に,to a distinctly greater extent or degree than is common
part-time,パートタイム,involving less than the standard or customary time for an activity
passion,情熱,a strong feeling or emotion
passive,受動的,the voice used to indicate that the grammatical subject of the verb is the recipient (not the source) of the action denoted by the verb
passport,パスポート,any authorization to pass or go somewhere
password,パスワード,a secret word or phrase known only to a restricted group
past,過去,the time that has elapsed
patience,根気,good-natured tolerance of delay or incompetence
patient,患者,a person who requires medical care
patrol,巡回,a detachment used for security or reconnaissance
pattern,パターン,a perceptual structure
pause,休止,a time interval during which there is a temporary cessation of something
peanut,落花生,underground pod of the peanut vine
peculiar,特有,beyond or deviating from the usual or expected
penniless,一文無し,not having enough money to pay for necessities
penny,ペニー,a fractional monetary unit of Ireland and the United Kingdom; equal to one hundredth of a pound
percent,パーセント,a proportion in relation to a whole (which is usually the amount per hundred)
performer,パフォーマー,an entertainer who performs a dramatic or musical work for an audience
permanent,恒久,a series of waves in the hair made by applying heat and chemicals
permanently,永久に,for a long time without essential change
permit,許可,a legal document giving official permission to do something
personally,自ら,as yourself
persuade,言い聞かせる,win approval or support for
persuasive,説得力のあります,intended or having the power to induce action or belief
phantom,ファントム,a ghostly appearing figure
pharmacy,薬局,"the art and science of preparing and dispensing drugs and medicines,"
phenomenon,現象,any state or process known through the senses rather than by intuition or reasoning
philosopher,哲学者,a specialist in philosophy
philosophy,哲学,a belief (or system of beliefs) accepted as authoritative by some group or school
phoenix,フェニックス,the state capital and largest city located in south central Arizona; situated in a former desert that has become a prosperous agricultural area thanks to irrigation
photocopy,コピー,a photographic copy of written or printed or graphic work
phrase,句,an expression consisting of one or more words forming a grammatical constituent of a sentence
physics,物理,the science of matter and energy and their interactions
pick,ピック,the person or thing chosen or selected
pie,パイ,dish baked in pastry-lined pan often with a pastry top
piety,信仰心,righteousness by virtue of being pious
pillow,枕,a cushion to support the head of a sleeping person
pin,ピン,a piece of jewelry that is pinned onto the wearer's garment
pineapple,パイナップル,a tropical American plant bearing a large fleshy edible fruit with a terminal tuft of stiff leaves; widely cultivated in the tropics
pipe,パイプ,a tube with a small bowl at one end; used for smoking tobacco
pit,ピット,a sizeable hole (usually in the ground)
place,場所,a point located with respect to surface features of some region
plain,平野,extensive tract of level open land
plan,予定,a series of steps to be carried out or goals to be accomplished
plant,工場,buildings for carrying on industrial labor
plastic,プラスチック,generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives
platform,プラットホーム,a raised horizontal surface
pleasantly,愉快,in a cheerful manner
please,お願いします,give pleasure to or be pleasing to
plenty,豊富,a full supply
plug,プラグ,blockage consisting of an object designed to fill a hole tightly
plus,プラス,a useful or valuable quality
poet,詩人,a writer of poems (the term is usually reserved for writers of good poetry)
poetry,詩,literature in metrical form
poison,毒,any substance that causes injury or illness or death of a living organism
poisonous,有毒,having the qualities or effects of a poison
pole,ポール,a long (usually round) rod of wood or metal or plastic
policy,ポリシー,a plan of action adopted by an individual or social group
politely,丁寧に,in a polite manner
politician,政治家,a leader engaged in civil administration
politics,政治,social relations involving intrigue to gain authority or power
pollutant,汚染物質,waste matter that contaminates the water or air or soil
pond,池,a small lake
popcorn,ポップコーン,corn having small ears and kernels that burst when exposed to dry heat
pork,豚肉,meat from a domestic hog or pig
port,港,a place (seaport or airport) where people and merchandise can enter or leave a country
positive,ポジティブ,"the primary form of an adjective or adverb; denotes a quality without qualification, comparison, or relation to increase or diminution"
positively,積極的に,extremely
possess,所有します,a temporary police force
possession,所持,the act of having and controlling property
possessive,所有の,the case expressing ownership
possibility,可能性,a future prospect or potential
postcard,葉書,a card for sending messages by post without an envelope
postman,郵便配達,a man who delivers the mail
pot,ポット,metal or earthenware cooking vessel that is usually round and deep; often has a handle and lid
potential,潜在的な,the inherent capacity for coming into being
pottery,陶器,ceramic ware made from clay and baked in a kiln
pound,ポンド,16 ounces avoirdupois
poverty,貧困,the state of having little or no money and few or no material possessions
powder,パウダー,a solid substance in the form of tiny loose particles; a solid that has been pulverized
practical,実用的,concerned with actual use or practice
praise,賞賛,an expression of approval and commendation
prayer,祈り,the act of communicating with a deity (especially as a petition or in adoration or contrition or thanksgiving)
precious,貴重,characterized by feeling or showing fond affection for
preference,優先,a strong liking
prefix,接頭辞,an affix that is added in front of the word
pregnant,妊娠しています,carrying developing offspring within the body or being about to produce new life
prejudice,偏見,a partiality that prevents objective consideration of an issue or situation
preparation,準備,the activity of putting or setting in order in advance of some act or purpose
prepared,準備,"make ready or suitable or equip in advance for a particular purpose or for some use, event, etc"
preposition,前置詞,a function word that combines with a noun or pronoun or noun phrase to form a prepositional phrase that can have an adverbial or adjectival relation to some other word
preschool,未就学,an educational institution for children too young for elementary school
prescription,処方,directions prescribed beforehand; the action of prescribing authoritative rules or directions
presence,プレゼンス,the state of being present; current existence
present,現在,the period of time that is happening now; any continuous stretch of time including the moment of speech
presentation,プレゼンテーション,the activity of formally presenting something (as a prize or reward)
preservation,保存,the activity of protecting something from loss or danger
preserve,保存します,a domain that seems to be specially reserved for someone
president,大統領,an executive officer of a firm or corporation
press,押す,the state of demanding notice or attention
previous,前,just preceding something else in time or order
priest,祭司,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders
primarily,主に,for the most part
primitive,プリミティブ,a person who belongs to an early stage of civilization
principle,原理,a basic generalization that is accepted as true and that can be used as a basis for reasoning or conduct
print,プリント,"the text appearing in a book, newspaper, or other printed publication"
prison,刑務所,a correctional institution where persons are confined while on trial or for punishment
prisoner,囚人,a person who is confined; especially a prisoner of war
privacy,プライバシー,the quality of being secluded from the presence or view of others
prize,賞,something given for victory or superiority in a contest or competition or for winning a lottery
probability,確率,a measure of how likely it is that some event will occur; a number expressing the ratio of favorable cases to the whole number of cases possible
proceed,進みます,"continue talking;  he continued,"
process,処理する,a particular course of action intended to achieve a result
proclaim,宣言する,declare formally; declare someone to be something; of titles
procrastination,怠慢,the act of procrastinating; putting off or delaying or defering an action to a later time
producer,プロデューサー,someone who manufactures something
productive,生産,producing or capable of producing (especially abundantly)
profession,職業,the body of people in a learned occupation
professor,教授,someone who is a member of the faculty at a college or university
program,プログラム,a series of steps to be carried out or goals to be accomplished
progress,進捗,gradual improvement or growth or development
prohibition,禁止,a law forbidding the sale of alcoholic beverages
prominent,主要,having a quality that thrusts itself into attention
promise,約束する,a verbal commitment by one person to another agreeing to do (or not to do) something in the future
promote,プロモート,contribute to the progress or growth of
promotion,プロモーション,a message issued in behalf of some product or cause or idea or person or institution
pronoun,代名詞,a function word that is used in place of a noun or noun phrase
proof,証明,any factual evidence that helps to establish the truth of something
properly,正しく,in the right manner
property,プロパティ,something owned; any tangible or intangible possession that is owned by someone
proportion,割合,the quotient obtained when the magnitude of a part is divided by the magnitude of the whole
proposal,提案,something proposed (such as a plan or assumption)
propose,提案します,"make a proposal, declare a plan for something"
prosperity,繁栄,an economic state of growth with rising profits and full employment
prosperous,繁栄しています,in fortunate circumstances financially; moderately rich
protect,守ります,"shield from danger, injury, destruction, or damage"
protection,保護,the activity of protecting someone or something
protective,保護,intended or adapted to afford protection of some kind
protest,抗議,a formal and solemn declaration of objection
proud,誇りに思う,feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for pride
prove,証明します,be shown or be found to be
proverb,諺,a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
provided,提供,give something useful or necessary to
psychological,心理学的,mental or emotional as opposed to physical in nature
pub,パブ,tavern consisting of a building with a bar and public rooms; often provides light meals
public,公衆,people in general considered as a whole
publicly,公に,in a manner accessible to or observable by the public; openly
publisher,出版社,a firm in the publishing business
pullover,路肩に寄せて下さい,a sweater that is put on by pulling it over the head
pump,ポンプ,a mechanical device that moves fluid or gas by pressure or suction
punish,罰します,impose a penalty on; inflict punishment on
punishment,罰,the act of punishing
pupil,瞳,a learner who is enrolled in an educational institution
puppy,子犬,a young dog
pure,ピュア,free of extraneous elements of any kind
purify,清める,"remove impurities from, increase the concentration of, and separate through the process of distillation"
purse,財布,a container used for carrying money and small personal items or accessories (especially by women)
push,押す,the act of applying force in order to move something away
puzzle,パズル,a particularly baffling problem that is said to have a correct solution
quake,地震,shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity
qualified,資格のあります,prove capable or fit; meet requirements
qualify,資格,prove capable or fit; meet requirements
quality,品質,an essential and distinguishing attribute of something or someone; --Shakespeare
quantity,量,how much there is or how many there are of something that you can quantify
questionnaire,アンケート,a form containing a set of questions; submitted to people to gain statistical information
queue,キュー,a line of people or vehicles waiting for something
race,人種,any competition
racial,人種的,of or related to genetically distinguished groups of people
radiation,放射線,energy that is radiated or transmitted in the form of rays or waves or particles
rage,激怒,a feeling of intense anger
rail,レール,a barrier consisting of a horizontal bar and supports
railroad,鉄道,line that is the commercial organization responsible for operating a system of transportation for trains that pull passengers or freight
railway,鉄道,line that is the commercial organization responsible for operating a system of transportation for trains that pull passengers or freight
rainfall,降雨,water falling in drops from vapor condensed in the atmosphere
rainforest,雨林,a forest with heavy annual rainfall
rank,順位,a row or line of people (especially soldiers or police) standing abreast of one another
rap,ラップ,a reproach for some lapse or misdeed
rapid,急速,a part of a river where the current is very fast
rapidly,すばやく,with rapid movements
rare,レア,not widely known; especially valued for its uncommonness
rarely,めったにありません,not often
raspberry,ラズベリー,woody brambles bearing usually red but sometimes black or yellow fruits that separate from the receptacle when ripe and are rounder and smaller than blackberries
ration,食糧,the food allowance for one day (especially for service personnel)
rational,合理的な,an integer or a fraction
razor,かみそり,edge tool used in shaving
reach,リーチ,the limits within which something can be effective
react,反応します,show a response or a reaction to something
realistic,現実的,aware or expressing awareness of things as they really are
reality,現実,all of your experiences that determine how things appear to you
rearrange,再配置,put into a new order or arrangement
reasonable,合理的,showing reason or sound judgment
rebuild,再構築,build again
recall,想起,a request by the manufacturer of a defective product to return the product (as for replacement or repair)
reception,受信,the manner in which something is greeted
recite,暗唱,recite in elocution
reclaim,再利用,claim back
recognize,認めます,accept (someone) to be what is claimed or accept his power and authority
recommend,推薦します,push for something
record,記録,anything (such as a document or a phonograph record or a photograph) providing permanent evidence of or information about past events
recording,録音,"a signal that encodes something (e.g., picture or sound) that has been recorded"
recover,回復します,get or find back; recover the use of
recovery,回復,return to an original state
recycled,リサイクル,cause to repeat a cycle
recycling,リサイクル,the act of processing used or abandoned materials for use in creating new products
reduce,減らします,cut down on; make a reduction in
reduction,削減,the act of decreasing or reducing something
reef,リーフ,a submerged ridge of rock or coral near the surface of the water
referee,審判,(sports) the chief official (as in boxing or American football) who is expected to ensure fair play
reflection,反射,"a calm, lengthy, intent consideration"
refreshments,軽食,snacks and drinks served as a light meal
refund,返金,money returned to a payer
refusal,拒否,the act of refusing
