英単語,日本語意味,英語意味
diplomat,外交官,an official engaged in international negotiations
disappearance,失踪,the act of leaving secretly or without explanation
disapproval,不承認,a feeling of disliking something or what someone is doing
disapprove,不承認,consider bad or wrong
discharge,流出,the sudden giving off of energy
disciple,弟子,someone who believes and helps to spread the doctrine of another
discipline,懲戒,a branch of knowledge
disconnect,ディスコネクト,an unbridgeable disparity (as from a failure of understanding)
discredit,不信,the state of being held in low esteem
discriminate,差別,recognize or perceive the difference
disgrace,不名誉,a state of dishonor
disguise,変装,an outward semblance that misrepresents the true nature of something
dishonesty,不正,the quality of being dishonest
disillusion,期待外れ,freeing from false belief or illusions
dismiss,退出させる,bar from attention or consideration
disorder,無秩序,a physical condition in which there is a disturbance of normal functioning
disorderly,不規則,undisciplined and unruly
disorganized,無秩序,remove the organization from
dispensable,不要,capable of being dispensed with or done without
displace,変位,"cause to move, usually with force or pressure"
displeasure,不満,the feeling of being displeased or annoyed or dissatisfied with someone or something
disposal,廃棄,the power to use something or someone
disposition,配置,your usual mood
dispute,紛争,a disagreement or argument about something important
disqualify,失格とします,make unfit or unsuitable
disregard,無視,lack of attention and due care
disrupt,混乱させる,make a break in
dissatisfaction,不満,the feeling of being displeased and discontent
dissatisfied,不満,fail to satisfy
dissident,反体制派,a person who dissents from some established policy
distinguished,区別,mark as different
distortion,ねじれ,a change for the worse
distract,そらします,draw someone's attention away from something
distraction,気晴らし,mental turmoil
distressing,悲惨な,"bring into difficulties or distress, especially financial hardship"
distributor,ディストリビューター,someone who markets merchandise
diversion,流用,an activity that diverts or amuses or stimulates
divert,迂回,turn aside; turn away from
divided,分割します,separate into parts or portions
division,分割,an army unit large enough to sustain combat
divorce,離婚,the legal dissolution of a marriage
DNA,DNA,(biochemistry) a long linear polymer found in the nucleus of a cell and formed from nucleotides and shaped like a double helix; associated with the transmission of genetic information
dock,ドック,an enclosure in a court of law where the defendant sits during the trial
domestic,国内の,a servant who is paid to perform menial tasks around the household
dominate,支配,"be larger in number, quantity, power, status or importance"
donate,寄付,give to a charity or good cause
donation,寄付,a voluntary gift (as of money or service or ideas) made to some worthwhile cause
donkey,ドンキー,the symbol of the Democratic Party; introduced in cartoons by Thomas Nast in 1874
doom,運命,an unpleasant or disastrous destiny
doorkeeper,守衛,an official stationed at the entrance of a courtroom or legislative chamber
doorway,戸口,the entrance (the space in a wall) through which you enter or leave a room or building; the space that a door can close
dorm,寮,a college or university building containing living quarters for students
dormitory,寮,a college or university building containing living quarters for students
dose,用量,a measured portion of medicine taken at any one time
double,ダブル,a base hit on which the batter stops safely at second base
doubly,二重に,to double the degree
doubt,疑問に思う,the state of being unsure of something
doubtful,疑わしい,open to doubt or suspicion; ; ; ; - Karen Horney
dove,鳩,any of numerous small pigeons
down,ダウン,soft fine feathers
downfall,没落,failure that results in a loss of position or reputation
download,ダウンロード,transfer a file or program from a central computer to a smaller computer or to a computer at a remote location
downsize,小型化,dismiss from work
dowry,持参金,money or property brought by a woman to her husband at marriage
draft,ドラフト,a document ordering the payment of money; drawn by one person or bank on another
drain,ドレイン,emptying something accomplished by allowing liquid to run out of it
dramatically,劇的,in a very impressive manner
drapery,衣紋,hanging cloth used as a blind (especially for a window)
dread,ドレッド,fearful expectation or anticipation
dreadful,恐ろしい,causing fear or dread or terror
dreamy,ドリーミー,dreamy in mood or nature
drinkable,飲めます,any liquid suitable for drinking
droop,ドループ,a shape that sags
dropout,脱落,someone who quits school before graduation
drought,干ばつ,a shortage of rainfall
duel,決闘,a prearranged fight with deadly weapons by two people (accompanied by seconds) in order to settle a quarrel over a point of honor
dumb,ダム,slow to learn or understand; lacking intellectual acuity; ; ; - Thackeray
duplicate,重複,something additional of the same kind
duplication,複製,a copy that corresponds to an original exactly
dwarf,小人,a person who is markedly small
dye,染料,a usually soluble substance for staining or coloring e.g. fabrics or hair
dynamic,動的,an efficient incentive
eagerly,熱心に,with eagerness; in an eager manner
eagle,鷲,any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight
earnings,収入,the excess of revenues over outlays in a given period of time (including depreciation and other non-cash expenses)
ease,簡易,freedom from difficulty or hardship or effort
eastward,東方へ,the cardinal compass point that is at 90 degrees
ecologically,生態学,with respect to ecology
ecologist,生態学者,a biologist who studies the relation between organisms and their environment
economical,経済,using the minimum of time or resources necessary for effectiveness
economist,エコノミスト,an expert in the science of economics
ecstatic,夢中の,feeling great rapture or delight
edit,編集します,"prepare for publication or presentation by correcting, revising, or adapting"
editorial,社説,an article giving opinions or perspectives
educated,教育を受けました,give an education to
educator,教師,someone who educates young people
effectively,効果的,in an effective manner
effectiveness,効果,power to be effective; the quality of being able to bring about an effect
elect,次期,an exclusive group of people
elective,選択科目,a course that the student can select from among alternatives
electrician,電気工,a person who installs or repairs electrical or telephone lines
electronically,電子的に,by electronic means
electronics,エレクトロニクス,the branch of physics that deals with the emission and effects of electrons and with the use of electronic devices
elegance,優雅,a refined quality of gracefulness and good taste
elegant,エレガント,refined and tasteful in appearance or behavior or style
elegantly,エレガント,with elegance; in a tastefully elegant manner
elemental,元素の,relating to or being an element
eligible,適格,qualified for or allowed or worthy of being chosen
elite,エリート,a group or class of persons enjoying superior intellectual or social or economic status
eloquence,雄弁,powerful and effective language
eloquent,雄弁な,"expressing yourself readily, clearly, effectively"
embassy,大使館,a diplomatic building where ambassadors live or work
embrace,擁する,the act of clasping another person in the arms (as in greeting or affection)
emergence,羽化,the gradual beginning or coming forth
emphatically,強調,without question and beyond doubt
employ,採用,the state of being employed or having a job
employee,社員,a worker who is hired to perform a job
employer,雇用者,a person or firm that employs workers
encounter,出会い,a minor short-term fight
endeavor,努力,a purposeful or industrious undertaking (especially one that requires effort or boldness)
endlessly,延々と,continuing forever without end
endorse,裏付けます,be behind; approve of
endurance,耐久,the power to withstand hardship or stress
enduring,永続的な,put up with something or somebody unpleasant
energy,エネルギー,(physics) a thermodynamic quantity equivalent to the capacity of a physical system to do work; the units of energy are joules or ergs
enforce,施行します,ensure observance of laws and rules
engagement,エンゲージメント,a hostile meeting of opposing military forces in the course of a war
engulf,巻き込みます,devote (oneself) fully to
enhance,強化,increase
enroll,登録ステム,register formally as a participant or member
enterprise,企業,a purposeful or industrious undertaking (especially one that requires effort or boldness)
entertaining,楽しま,provide entertainment for
enthusiastically,熱狂的に,with enthusiasm; in an enthusiastic manner
entitle,資格付与,give the right to
entrepreneur,企業家,someone who organizes a business venture and assumes the risk for it
environment,環境,the totality of surrounding conditions
environmentally,環境,for the environment
envy,羨望,a feeling of grudging admiration and desire to have something that is possessed by another
equal,等しい,a person who is of equal standing with another in a group
equation,方程式,a mathematical statement that two expressions are equal
equip,装備,provide with (something) usually for a specific purpose
equity,株式,the difference between the market value of a property and the claims held against it
erect,直立,"construct, build, or erect"
erupt,噴出します,start abruptly
eruption,噴火,the sudden occurrence of a violent discharge of steam and volcanic material
essayist,エッセイスト,a writer of literary works
essentially,本来,in essence; at bottom or by one's (or its) very nature
estate,エステート,everything you own; all of your assets (whether real property or personal property) and liabilities
estimate,推計,an approximate calculation of quantity or degree or worth
estimated,推定,judge tentatively or form an estimate of (quantities or time)
eternally,永遠に,for a limitless time; ; - P.P.Bliss
ethic,倫理,the principles of right and wrong that are accepted by an individual or a social group
ethnic,エスニック,a person who is a member of an ethnic group
evacuate,隔離,move out of an unsafe location into safety
evacuation,退避,the act of removing the contents of something
evaluate,評価します,"evaluate or estimate the nature, quality, ability, extent, or significance of"
evaluation,評価,act of ascertaining or fixing the value or worth of
everlasting,不朽,any of various plants of various genera of the family Compositae having flowers that can be dried without loss of form or color
evidently,明らかに,unmistakably (`plain' is often used informally for `plainly')
evil,悪の,morally objectionable behavior
evolution,進化,a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)
evolve,進化,work out
exactness,正確,the quality of being exact
exaggerate,誇張する,to enlarge beyond bounds or the truth
exaggeration,過言,extravagant exaggeration
exalt,擡げます,"praise, glorify, or honor"
examinee,被験者,someone who is tested (as by an intelligence test or an academic examination)
exceed,上回ります,be greater in scope or size than some standard
excel,秀でます,distinguish oneself
exception,例外,a deliberate act of omission
exceptional,異例,far beyond what is usual in magnitude or degree
exceptionally,例外的に,to an exceptional degree
excessive,過大,beyond normal limits
exclaim,叫ぶ,"utter aloud; often with surprise, horror, or joy"
exclude,除外する,prevent from being included or considered or accepted
exclusion,除外,the state of being excluded
exclusively,排他的に,without any others being included or involved
excursion,修学旅行,a journey taken for pleasure
execute,実行,kill as a means of socially sanctioned punishment
execution,実行,putting a condemned person to death
executive,エグゼクティブ,a person responsible for the administration of a business
exhaust,排気,gases ejected from an engine as waste products
exhausting,排気,wear out completely
exhaustion,疲労,extreme fatigue
exhibit,示す,an object or statement produced before a court of law and referred to while giving evidence
exile,亡命,a person who is voluntarily absent from home or country
existing,既存の,"have an existence, be extant"
exotic,エキゾチック,being or from or characteristic of another place or part of the world
expansion,拡張,the act of increasing (something) in size or volume or quantity or scope
expectation,期待,belief about (or mental picture of) the future
expected,予想,regard something as probable or likely
expedition,遠征,a military campaign designed to achieve a specific objective in a foreign country
experiment,実験,the act of conducting a controlled test or investigation
expert,専門,a person with special knowledge or ability who performs skillfully
explode,爆発します,cause to burst with a violent release of energy
exploit,開発します,a notable achievement
explorer,冒険者,someone who travels into little known regions (especially for some scientific purpose)
explosive,爆発的,a chemical substance that undergoes a rapid chemical change (with the production of gas) on being heated or struck
export,書き出す,commodities (goods or services) sold to a foreign country
expressive,表現力,characterized by expression
exquisite,絶妙,intense or sharp
extension,拡張,a mutually agreed delay in the date set for the completion of a job or payment of a debt
extensive,広範囲,large in spatial extent or range or scope or quantity
external,外部の,outward features
extract,エキス,a solution obtained by steeping or soaking a substance (usually in water)
extraordinarily,並外れ,extremely
exultant,意気揚揚,joyful and proud especially because of triumph or success
eyebrow,眉,the arch of hair above each eye
eyelash,まつげ,any of the short curved hairs that grow from the edges of the eyelids
eyelid,まぶた,either of two folds of skin that can be moved to cover or open the eye
fabric,ファブリック,artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
fabulous,すばらしいです,extremely pleasing
facilitate,容易にします,make easier
facilities,施設,a building or place that provides a particular service or is used for a particular industry
factor,因子,anything that contributes causally to a result
faculty,学部,one of the inherent cognitive or perceptual powers of the mind
faint,気絶,a spontaneous loss of consciousness caused by insufficient blood to the brain
faith,信仰,a strong belief in a supernatural power or powers that control human destiny
falter,つまずきます,the act of pausing uncertainly
fame,名声,the state or quality of being widely honored and acclaimed
familiarize,慣れます,make familiar or conversant with
fantastically,幻想,exceedingly; extremely
far,遥か,a terrorist organization that seeks to overthrow the government dominated by Tutsi and to institute Hutu control again
fascinated,魅了,cause to be interested or curious
fascination,魅力,the state of being intensely interested (as by awe or terror)
fat,太い,a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides)
fatal,致命的な,bringing death
fate,運命,an event (or a course of events) that will inevitably happen in the future
father-in-law,義父,the father of your spouse
faulty,不完全,having a defect
fear,恐れ,an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
fearsome,恐ろしいです,causing fear or dread or terror
feat,功績,a notable achievement
feature,特徴,a prominent attribute or aspect of something
federal,連邦の,a member of the Union Army during the American Civil War
feedback,フィードバック,the process in which part of the output of a system is returned to its input in order to regulate its further output
fellow,仲間,a boy or man
female,女性,an animal that produces gametes (ova) that can be fertilized by male gametes (spermatozoa)
ferryboat,フェリーボート,a boat that transports people or vehicles across a body of water and operates on a regular schedule
fiber,ファイバ,a slender and greatly elongated substance capable of being spun into yarn
fictional,架空の,related to or involving literary fiction
fierce,激しい,marked by extreme and violent energy
fighting,戦い,the act of fighting; any contest or struggle
figurative,比喩的な,(used of the meanings of words or text) not literal; using figures of speech
file,ファイル,a set of related records (either written or electronic) kept together
filial,子としての,designating the generation or the sequence of generations following the parental generation
finance,ファイナンス,the commercial activity of providing funds and capital
financially,財政,from a financial point of view
fine,罰金,money extracted as a penalty
finely,細かく,in tiny pieces
fingernail,爪,the nail at the end of a finger
fire,火,the event of something burning (often destructive)
firearm,銃器,a portable gun
fireplace,暖炉,an open recess in a wall at the base of a chimney where a fire can be built
firmness,ハリ,the muscle tone of healthy tissue
firstly,まず、,before anything else
fiscal,年度,involving financial matters
fit,フィット,a display of bad temper
fixed,修繕,restore by replacing a part or putting together what is torn or broken
flame,火炎,the process of combustion of inflammable materials producing heat and light and (often) smoke
flap,フラップ,any broad thin and limber covering attached at one edge; hangs loose or projects freely
flash,閃光,a sudden intense burst of radiant energy
flat,平らな,a level tract of land
flaw,欠点,an imperfection in an object or machine
flawless,完璧,without a flaw
flax,亜麻,fiber of the flax plant that is made into thread and woven into linen fabric
flee,逃げます,run away quickly
fleet,艦隊,group of aircraft operating together under the same ownership
flesh,肉,the soft tissue of the body of a vertebrate: mainly muscle tissue and fat
flexibility,柔軟性,the property of being flexible; easily bent or shaped
flexible,フレキシブル,capable of being changed
flexibly,柔軟に,with flexibility
flip,フリップ,an acrobatic feat in which the feet roll over the head (either forward or backward) and return
fluency,なめらかさ,powerful and effective language
fluid,体液,a substance that is fluid at room temperature and pressure
flutter,ときめきます,the act of moving back and forth
focus,フォーカス,the concentration of attention or energy on something
follower,フォロワー,a person who accepts the leadership of another
following,以下,a group of followers or enthusiasts
folly,愚行,the trait of acting stupidly or rashly
fondly,惚れ惚れ,with fondness; with love
foolishly,愚かに,without good sense or judgment
footnote,脚注,a printed note placed below the text on a printed page
force,力,a powerful effect or influence
forcefully,強制的に,with full force
foreman,フォアマン,a person who exercises control over workers
foresee,先見,realize beforehand
forestry,林業,the science of planting and caring for forests and the management of growing timber
formation,形成,an arrangement of people or things acting as a unit
formerly,先に,at a previous time
formidable,恐ろしいです,extremely impressive in strength or excellence
forthcoming,来たる,at ease in talking to others
foul,ファウル,an act that violates the rules of a sport
found,ました,food and lodging provided in addition to money
fox,狐,alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs
fragrance,香り,a distinctive odor that is pleasant
frame,フレーム,the framework for a pair of eyeglasses
frankly,端的,(used as intensives reflecting the speaker's attitude) it is sincerely the case that
frantically,必死に,in an uncontrolled manner
fraud,詐欺,intentional deception resulting in injury to another person
freak,フリーク,a person or animal that is markedly unusual or deformed
free,自由,people who are free
friendly,優しいです,troops belonging to or allied with your own military forces
frigate,フリゲート,a medium size square-rigged warship of the 18th and 19th centuries
frontier,フロンティア,a wilderness at the edge of a settled area of a country
frugal,質素な,avoiding waste
fulfill,満たす,put in effect
fume,煙,a cloud of fine particles suspended in a gas
functional,機能の,designed for or capable of a particular function or use
functionality,機能,capable of serving a purpose well
fundamental,基本的な,any factor that could be considered important to the understanding of a particular business
funk,ファンク,a state of nervous depression
funky,ファンキー,offensively malodorous
furious,激しいです,marked by extreme and violent energy
furiously,猛烈,(of the elements) in a wild and stormy manner
furor,喧々囂々,an interest followed with exaggerated zeal
gaiety,朗らか,a gay feeling
gambling,ギャンブル,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
gang,ギャング,an association of criminals
gangster,悪党,a criminal who is a member of gang
gardener,植木屋,someone who takes care of a garden
gasp,息を弾ませます,a short labored intake of breath with the mouth open
gateway,ゲートウェイ,an entrance that can be closed by a gate
gaudy,派手,(Britain) a celebratory reunion feast or entertainment held a college
gaze,視線,a long fixed look
gear,装備,a toothed wheel that engages another toothed mechanism in order to change the speed or direction of transmitted motion
generalization,一般化,reasoning from detailed facts to general principles
generalize,一般化,draw from specific cases for more general cases
generosity,寛容,the trait of being willing to give your money or time
generously,寛大,in a generous manner
genius,天才,someone who has exceptional intellectual ability and originality
genre,ジャンル,a kind of literary or artistic work
gently,優しく,in a gradual manner
genuine,純正,not fake or counterfeit
genuinely,純粋に,in accordance with truth or fact or reality
geographic,地理,of or relating to the science of geography
germ,胚芽,anything that provides inspiration for later work
getaway,逃げる,the attribute of being capable of rapid acceleration
ghetto,ゲットー,formerly the restricted quarter of many European cities in which Jews were required to live
giveaway,与える,a gift of public land or resources for the private gain of a limited group
glamorous,グラマラス,"having an air of allure, romance and excitement"
glare,グレア,a light within the field of vision that is brighter than the brightness to which the eyes are adapted
gleam,かすかな光,an appearance of reflected light
glee,大喜び,great merriment
globally,グローバル,throughout the world
gloomy,悲観的,depressingly dark
glorify,美化します,"praise, glorify, or honor"
glow,輝きます,an alert and refreshed state
goat,山羊,any of numerous agile ruminants related to sheep but having a beard and straight horns
god,神,the supernatural being conceived as the perfect and omnipotent and omniscient originator and ruler of the universe; the object of worship in monotheistic religions
godly,信心深いです,showing great reverence for god
good,良い,benefit
goodwill,善意,(accounting) an intangible asset valued according to the advantage or reputation a business has acquired (over and above its tangible assets)
gook,芥,"any thick, viscous matter"
gorge,山峡,a deep ravine (usually with a river running through it)
gossip,ゴシップ,light informal conversation for social occasions
governmental,政府の,relating to or dealing with the affairs or structure of government or politics or the state
gracefulness,優雅,beautiful carriage
grade,グレード,a body of students who are taught together
gradual,ゆるやかな,(Roman Catholic Church) an antiphon (usually from the Book of Psalms) immediately after the epistle at Mass
grain,粒,a relatively small granular particle of a substance
grand,壮大な,the cardinal number that is the product of 10 and 100
graphically,グラフィカル,in a diagrammatic manner
grasp,把握,understanding of the nature or meaning or quality or magnitude of something
gravestone,墓石,a stone that is used to mark a grave
gravitation,重力,(physics) the force of attraction between all masses in the universe; especially the attraction of the earth's mass for bodies near its surface; ; ; --Albert Einstein
greatness,偉大,the property possessed by something or someone of outstanding importance or eminence
grief,悲しみ,intense sorrow caused by loss of a loved one (especially by death)
grieve,グリーブ,feel grief
grim,厳しいです,not to be placated or appeased or moved by entreaty
grin,にっこり笑います,a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement
grip,グリップ,the act of grasping
gross,キモい,twelve dozen
growing,成長,(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level
guarantee,保証,a written assurance that some product or service will be provided or will meet certain specifications
guard,ガード,a person who keeps watch over something or someone
guerrilla,ゲリラ,a member of an irregular armed force that fights a stronger force by sabotage and harassment
guideline,ガイドライン,a light line that is used in lettering to help align the letters
gulp,飲み込みます,a large and hurried swallow
gum,ガム,a preparation (usually made of sweetened chicle) for chewing
gunshot,銃声,the act of shooting a gun
guts,根性,fortitude and determination
gymnastic,体操,vigorously active
habitant,居住,a person who inhabits a particular place
hail,雹,precipitation of ice pellets when there are strong rising air currents
hairy,毛深いです,having or covered with hair
hammer,ハンマー,the part of a gunlock that strikes the percussion cap when the trigger is pulled
handicap,ハンディキャップ,the condition of being unable to perform as a consequence of physical or mental unfitness
handicraft,手芸,a work produced by hand labor
handout,ハンドアウト,an announcement distributed to members of the press in order to supplement or replace an oral presentation
handrail,手すり,a railing at the side of a staircase or balcony to prevent people from falling
hang,ハング,a special way of doing something
hardware,ハードウェア,major items of military weaponry (as tanks or missile)
harm,害,any physical damage to the body caused by violence or accident or fracture etc.
harmless,無害,not causing or capable of causing harm
harrow,まぐわ,a cultivator that pulverizes or smooths the soil
haste,速攻,overly eager speed (and possible carelessness)
hastily,急いで,in a hurried or hasty manner
hatching,孵化,the production of young from an egg
haunt,たまり場,a frequently visited place
haunting,忘れられません,follow stealthily or recur constantly and spontaneously to
hay,干し草,grass mowed and cured for use as fodder
hazardous,危険な,involving risk or danger
headquarters,本部,(usually plural) the office that serves as the administrative center of an enterprise
heap,ヒープ,a collection of objects laid on top of each other
heartbreaking,辛いです,causing or marked by grief or anguish
heartwarming,心温まる,causing gladness and pleasure
hedge,ヘッジ,a fence formed by a row of closely planted shrubs or bushes
helicopter,ヘリコプター,an aircraft without wings that obtains its lift from the rotation of overhead blades
hell,地獄,any place of pain and turmoil
helper,ヘルパー,a person who contributes to the fulfillment of a need or furtherance of an effort or purpose
hemp,麻,a plant fiber
herb,ハーブ,a plant lacking a permanent woody stem; many are flowering garden plants or potherbs; some having medicinal properties; some are pests
heritage,遺産,practices that are handed down from the past by tradition
hesitation,躊躇,indecision in speech or action
highlight,ハイライト,the most interesting or memorable part
high-tech,ハイテク,resembling or making use of highly advanced technology or devices
hijack,ハイジャック,seizure of a vehicle in transit either to rob it or divert it to an alternate destination
hilarious,陽気な、こっけいな,marked by or causing boisterous merriment or convulsive laughter
hint,ヒント,an indirect suggestion
holder,保有者,a holding device
hollow,空洞,a cavity or space in something
holocaust,ホロコースト,an act of mass destruction and loss of life (especially in war or by fire)
homeward,復路,oriented toward home
hone,ホーン,a whetstone made of fine gritstone; used for sharpening razors
honor,名誉,a tangible symbol signifying approval or distinction
honorable,尊敬すべき,not disposed to cheat or defraud; not deceptive or fraudulent
hood,フード,an aggressive and violent young criminal
hook,針,a catch for locking a door
hospice,ホスピス,a lodging for travelers (especially one kept by a monastic order)
hospitable,丁重,favorable to life and growth
hospitality,ホスピタリティー,kindness in welcoming guests or strangers
hospitalize,入院,admit into a hospital
hourly,毎時,occurring every hour or payable by the hour
housekeeper,お手伝いさん,a servant who is employed to perform domestic task in a household
housemaster,housemaster,teacher in charge of a school boardinghouse
housewife,専業主婦,a wife who manages a household while her husband earns the family income
hover,ホバー,be undecided about something; waver between conflicting positions or courses of action
hug,抱擁,a tight or amorous embrace
hugely,非常,extremely
humane,人道的,pertaining to or concerned with the humanities
humanist,ヒューマニスト,a classical scholar or student of the liberal arts
humanize,ヒューマナイズ,make more humane
humble,つつましいです,cause to be unpretentious
humbug,浮気者,pretentious or silly talk or writing
humiliate,凹まします,cause to feel shame; hurt the pride of
humiliating,屈辱,cause to feel shame; hurt the pride of
humiliation,屈辱,state of disgrace or loss of self-respect
hunting,狩猟,the pursuit and killing or capture of wild animals regarded as a sport
hush,静けさ,(poetic) tranquil silence
hybrid,ハイブリッド,"a word that is composed of parts from different languages (e.g., `monolingual' has a Greek prefix and a Latin root)"
hygiene,衛生,a condition promoting sanitary practices
hyperbole,誇張,extravagant exaggeration
hyphen,ハイフン,a punctuation mark (-) used between parts of a compound word or between the syllables of a word when the word is divided at the end of a line of text
iceman,アイスマン,someone who cuts and delivers ice
icon,アイコン,(computer science) a graphic symbol (usually a simple picture) that denotes a program or a command or a data file or a concept in a graphical user interface
icy,冷たいです,devoid of warmth and cordiality; expressive of unfriendliness or disdain
ideally,理想的には、,in an ideal manner
identical,同じ,exactly alike; incapable of being perceived as different
identification,識別,the act of designating or identifying something
identify,識別,recognize as being; establish the identity of someone or something
ideology,イデオロギー,an orientation that characterizes the thinking of a group or nation
idiot,馬鹿,a person of subnormal intelligence
idle,遊休,the state of an engine or other mechanism that is idling
idolize,敬います,love unquestioningly and uncritically or to excess; venerate as an idol
ignorance,無知,the lack of knowledge or education
ignorant,無知の,uneducated in general; lacking knowledge or sophistication
illustrate,説明,clarify by giving an example of
illustration,図,artwork that helps make something clear or attractive
imagery,画像,the ability to form mental images of things or events
imitation,模倣,the doctrine that representations of nature or human behavior should be accurate imitations
immerse,浸し,thrust or throw into
immigrant,移民,a person who comes to a country where they were not born in order to settle there
immoral,不道徳な,deliberately violating accepted principles of right and wrong
immortal,不滅,a person (such as an author) of enduring fame
immortality,不死,the quality or state of being immortal
impartial,公平,showing lack of favoritism
impatiently,今や遅しと,with impatience; in an impatient manner
imperative,命令,a mood that expresses an intention to influence the listener's behavior
impermanent,永久的でない,not permanent; not lasting; - James Thurber
implement,インプリメント,instrumentation (a piece of equipment or tool) used to effect an end
implication,含意,something that is inferred (deduced or entailed or implied)
imply,暗示,express or state indirectly
impolite,無礼,not polite
impolitely,impolitely,in an impolite manner
import,インポート,commodities (goods or services) bought from a foreign country
impose,課す,compel to behave in a certain way
impossibility,不能,incapability of existing or occurring
impractical,非実際的,not practical; not workable or not given to practical matters
impressed,感動,have an emotional or cognitive impact upon
impressionism,印象主義,a school of late 19th century French painters who pictured appearances by strokes of unmixed colors to give the impression of reflected light
impressionist,印象派,a painter who follows the theories of Impressionism
imprison,閉じ込めます,"lock up or confine, in or as in a jail"
imprisonment,投獄,putting someone in prison or in jail as lawful punishment
improbable,ありそうにありません,not likely to be true or to occur or to have occurred
improperly,不適当に,in an improper way
improved,改善,to make better
impulse,衝動,an instinctive motive
impulsive,衝動的な,proceeding from natural feeling or impulse without external stimulus
inaccurate,不正確な,not exact
inadequate,不十分な,lacking the requisite qualities or resources to meet a task
inanimate,無生物,belonging to the class of nouns denoting nonliving things
inborn,先天的,present at birth but not necessarily hereditary; acquired during fetal development
incense,インセンス,a substance that produces a fragrant odor when burned
incentive,動機,a positive motivational influence
inch,インチ,a unit of length equal to one twelfth of a foot
incur,被ります,make oneself subject to; bring upon oneself; become liable to
incurable,不治,a person whose disease is incurable
indebted,お世話,owing gratitude or recognition to another for help or favors etc
indent,インデント,an order for goods to be exported or imported
independently,単独で,on your own; without outside help
indescribable,言い表わせありません,defying expression or description
index,指数,a numerical scale used to compare variables with one another or with some reference number
indifferent,無関心,marked by a lack of interest
indignity,恥辱,an affront to one's dignity or self-esteem
indispensable,不可欠,not to be dispensed with; essential
individual,個人,a human being
indulge,ふけます,give free rein to
indulgent,甘いです,characterized by or given to yielding to the wishes of someone
industrialize,工業化,organize (the production of something) into an industry
ineffective,無効,not producing an intended effect
inert,不活性,unable to move or resist motion
inexperienced,未熟,lacking practical experience or training
infant,幼児,a very young child (birth to 1 year) who has not yet begun to walk or talk
infect,感染,communicate a disease to
infected,感染した,communicate a disease to
infectious,感染,caused by infection or capable of causing infection
infer,推します,reason by deduction; establish by deduction
inference,推論,the reasoning involved in drawing a conclusion or making a logical judgment on the basis of circumstantial evidence and prior conclusions rather than on the basis of direct observation
inflammation,炎症,a response of body tissues to injury or irritation; characterized by pain and swelling and redness and heat
inflammatory,炎症,characterized or caused by inflammation
inflate,インフレート,exaggerate or make bigger
inflation,インフレーション,a general and progressive increase in prices
influence,影響,a power to affect persons or events especially power based on prestige etc
influential,影響力のあります,having or exercising influence or power
influenza,インフルエンザ,an acute febrile highly contagious viral disease
informal,非公式,not formal
infringe,侵害,"go against, as of rules and laws"
infringement,侵害,an act that disregards an agreement or a right
inhabit,生息,inhabit or live in; be an inhabitant of
inherit,継承,obtain from someone after their death
initial,初期,the first letter of a word (especially a person's name)
initiative,主導権,readiness to embark on bold new ventures
injection,注入,the forceful insertion of a substance under pressure
injured,負傷者,cause injuries or bodily harm to
innate,先天的,not established by conditioning or learning
innocently,無邪気,in a not unlawful manner
innovation,革新,a creation (a new device or process) resulting from study and experimentation
innovative,革新的な,ahead of the times
input,入力,signal going into an electronic system
inquire,問い合わせ,inquire about
inseparable,切っても切れない,not capable of being separated
inside,内部,the region that is inside of something
inspect,検査,look over carefully
inspector,インスペクター,a high ranking police officer
inspirational,インスピレーション,imparting a divine influence on the mind and soul
instantly,瞬時に,without delay or hesitation; with no time intervening
instill,植え付けます,impart gradually
instinct,本能,inborn pattern of behavior often responsive to specific stimuli
institution,施設,an organization founded and united for a specific purpose
instruct,指示し,impart skills or knowledge to
insufficient,不十分,of a quantity not able to fulfill a need or requirement
insult,侮辱,a rude expression intended to offend or hurt
integrate,統合,make into a whole or make part of a whole
intellectual,知的,a person who uses the mind creatively
intent,意,an anticipated outcome that is intended or that guides your planned actions
interactive,対話,used especially of drugs or muscles that work together so the total effect is greater than the sum of the two (or more)
interfere,干渉する,come between so as to be hindrance or obstacle
interior,インテリア,the region that is inside of something
interpersonal,対人,occurring among or involving several people
interpret,解釈,make sense of; assign a meaning to
interpretation,解釈,a mental representation of the meaning or significance of something
interpreter,通訳,someone who mediates between speakers of different languages
interruption,中断,an act of delaying or interrupting the continuity
intersection,交差点,a point where lines intersect
intimate,親しいです,someone to whom private matters are confided
intransitive,自動詞の,a verb (or verb construction) that does not take an object
intravenous,静脈,within or by means of a vein
intrude,INTRUDE,enter uninvited
intruder,侵入者,someone who intrudes on the privacy or property of another without permission
